feature,importance
Feature_207,0.022839865909067867
Feature_159,0.01699638510113974
Feature_282,0.014942325916895562
Feature_228,0.012558415677371104
Feature_251,0.012292625661758618
Feature_208,0.011898160818383362
Feature_20,0.011869375287755514
Feature_81,0.011518084445425108
Feature_110,0.011153059196581156
Feature_93,0.010831906366298088
Feature_171,0.01057522917990646
Feature_245,0.010283733774736894
Feature_226,0.010084269294922718
Feature_119,0.00923310190580165
Feature_63,0.008880099811387175
Feature_275,0.008880000980398164
Feature_243,0.008650658944786317
Feature_187,0.008587395781675283
Feature_216,0.008432077435376596
Feature_26,0.008291367289496816
Feature_141,0.008283381802425025
Feature_277,0.008157487867178738
Feature_196,0.007649587347972872
Feature_117,0.007586877740398295
Feature_195,0.007406600190857597
Feature_173,0.007376803549590793
Feature_205,0.007363139620462464
Feature_100,0.007361542944153553
Feature_293,0.007155193418424313
Feature_230,0.0065531034994433975
Feature_22,0.0061597155537660405
Feature_62,0.006135770099957775
Feature_290,0.005931863485157309
Feature_256,0.005901429344226404
Feature_96,0.00573989699798619
Feature_90,0.005736985418001136
Feature_56,0.005601833769326977
Feature_250,0.005388778961213772
Feature_204,0.005281322926922347
Feature_158,0.0052038077519730615
Feature_218,0.005023369432967349
Feature_8,0.004955402768040459
Feature_125,0.004948561255025333
Feature_153,0.004916962965000443
Feature_61,0.004830266527672747
Feature_288,0.004744992973364712
Feature_215,0.004741813536849839
Feature_83,0.004656153112552432
Feature_79,0.00452061232099774
Feature_244,0.004427179710527815
