"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa01100","Metabolic pathways",112,0.420531054947287,1.93632997981971,1.25735032903232e-05,0.00178543746722589,0.00153529092808157,306,"tags=41%, list=24%, signal=34%","84706/847/3417/7388/204/3635/2990/3034/9588/50484/5315/22908/51/26/4713/55748/3705/7167/126328/23530/56913/29796/3418/262/5153/2618/4830/84532/54480/1337/9107/27034/51727/57103/4351/521/2597/79586/51005/1738/51079/27089/4967/1633/2053/4259"
"hsa01200","Carbon metabolism",16,0.720238347131304,2.14373773305934,0.000133097942126613,0.00944995389098953,0.00812597962457217,284,"tags=69%, list=22%, signal=54%","84706/847/3417/5315/51/7167/3418/84532/2597/1738/4967"
"hsa04146","Peroxisome",10,0.788056615995325,2.08881118225639,0.000316377042718624,0.0149751800220149,0.0128771006860914,138,"tags=70%, list=11%, signal=63%","847/3417/215/5827/5264/51/3418"
"hsa03040","Spliceosome",30,-0.578176411309633,-1.94107814422354,0.000579785540398785,0.0205823866841569,0.017698716496384,392,"tags=63%, list=31%, signal=45%","10286/6426/7536/10285/8559/11157/7919/26121/6625/79228/56259/7307/3183/988/6631/9416/22985/51690/22938"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",26,0.559252948809533,1.89128673381739,0.00130807291905672,0.0371492709012109,0.0319445176022273,431,"tags=73%, list=34%, signal=50%","847/7388/4713/126328/29796/3091/1337/2885/51079/3551/27089/2053/4259/1329/7384/6392/10327/4729/3845"
"hsa04814","Motor proteins",15,-0.66110766672393,-1.85618184809566,0.00167081995842578,0.0395427390160769,0.0340026517855072,182,"tags=40%, list=14%, signal=35%","10112/7283/80179/7277/51143/3833"
"hsa04120","Ubiquitin mediated proteolysis",12,0.687618384060725,1.93768020297599,0.0026047071312097,0.043683263443123,0.0375630730867477,160,"tags=58%, list=12%, signal=52%","55284/246184/6502/7323/7326/7321/7317"
"hsa05166","Human T-cell leukemia virus 1 infection",25,0.556342211587444,1.85102115257504,0.00276865754216977,0.043683263443123,0.0375630730867477,313,"tags=48%, list=24%, signal=37%","246184/3561/7538/55697/7043/64764/917/567/1385/4791/3551/3112"
"hsa05016","Huntington disease",34,0.495819741117214,1.79802147417782,0.00242457332312914,0.043683263443123,0.0375630730867477,282,"tags=47%, list=22%, signal=38%","7388/6874/5432/4713/5438/64764/126328/29796/11047/5693/1337/5706/7186/1385/51079/27089"
