0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.00239167,0.034581102,-0.055026457,-0.023538666,0.024120329,0.038844794,0.03286812,-0.02134301,-0.0381118,-0.015309131,0.040997174,0.007172269,-0.03505076,-0.05549289,-0.024796508,0.010464818,-0.036788613,0.034379758,0.0071957093,-0.049172282,0.046844564,-0.005836774,-0.0009700605,-0.08060645,0.056062106,0.013914688,-0.033645365,0.024006195,-0.03948617,0.0104006175,-0.015114659,-0.0011119116,-0.062055767,0.015736707,0.0024071296,-0.032716714,-0.052073676,0.0024188017,-0.0051467805,0.009337301,0.016179971,0.0024651997,-0.066148184,0.0033725314,0.021496072,0.046500616,0.016472807,-0.015084692,-0.0022231787,-0.03304555,-0.043402143,-0.0074311905,-0.021553116,-0.05385966,-0.0525008,0.022956386,-0.034435652,0.023699647,0.028400505,-0.017572364,-0.034659304,0.039371256,0.0140908575,0.009851896,-0.026392773,0.005466805,0.035583727,0.0047009215,0.017707312,0.045555737,0.017206717,0.058061194,0.018609429,0.014554182,0.003951722,0.010711085,0.012487823,-0.001273483,0.007201146,-0.031299796,-0.018885827,-0.048684753,0.036074694,-0.052139994,0.00026841508,-0.019298488,-0.018616136,0.024470739,0.024952948,0.03951318,0.007835322,0.029691754,0.0015304489,0.0231389,-0.018606111,0.01460452,0.0016812421,-0.005249539,0.04884927,0.051912986
-65405.496,-79854.71,66385.086,55429.062,-31923.574,-1109.9177,-14056.172,36315.25,99338.59,74447.61,-26422.053,-46555.47,68635.56,17570.691,-565.962,-5526.3237,62351.55,-9072.457,-74322.1,-13777.616,-24458.254,11349.975,-52514.836,82771.5,-104201.99,19761.09,80717.2,-24416.445,100338.89,-11411.948,48063.113,-77980.555,-4792.771,-14128.052,3257.8164,40180.676,151970.52,-74310.35,18564.14,-49200.914,-65692.35,-117450.25,116936.06,-60945.918,-24042.193,-59774.98,-19370.066,13173.849,21982.96,-255.14348,34620.69,102700.49,24926.863,85246.195,103459.88,40389.36,46266.49,-114944.695,-22518.49,21082.97,66606.37,-50509.617,90838.43,-53735.902,29187.166,32801.6,-51751.285,-5858.8457,-34679.17,-59390.39,-110556.445,-32086.902,-22492.006,-56938.332,-87052.086,39651.18,98856.34,69192.305,58076.523,-52362.457,54171.305,32545.045,20265.8,22457.303,-35908.508,50108.082,-58564.266,-31347.336,-16382.996,-19510.814,-54524.527,-45766.69,43973.766,-72153.72,353.1645,-32816.5,27836.254,30508.943,-148634.12,-78057.19
-62081.805,-75771.33,63081.07,52586.66,-30231.742,-1115.234,-13326.9375,34486.383,94272.836,70680.51,-25018.133,-44228.402,65100.1,16698.463,-564.002,-5326.3896,59183.48,-8662.755,-70547.81,-13154.807,-23321.078,10723.439,-49881.74,78578.13,-98961.414,18613.996,76641.87,-23123.93,95197.11,-10917.005,45497.508,-74065.09,-4458.5386,-13396.441,3058.0522,38200.56,144217.33,-70456.13,17628.389,-46776.883,-62368.21,-111338.1,110869.12,-57870.15,-22839.361,-56773.27,-18355.803,12437.47,20926.943,-218.08759,32749.186,97520.4,23738.662,80997.92,98107.16,38354.42,43923.473,-109113.15,-21477.26,19902.543,63196.81,-47934.383,86236.87,-51040.793,27661.865,31034.428,-49124.24,-5556.49,-33005.266,-56341.297,-104812.836,-30480.51,-21379.166,-54128.06,-82746.83,37552.56,93864.586,65635.75,55018.973,-49687.387,51449.934,30855.152,19297.662,21353.758,-34134.492,47532.96,-55524.098,-29729.297,-15580.925,-18551.14,-51694.395,-43419.805,41672.09,-68443.9,449.05496,-31158.041,26445.143,29041.19,-141009.11,-74095.98
-70480.88,-85853.4,71639.48,59658.543,-34336.008,-1136.8859,-15160.605,39082.816,106714.81,80121.43,-27989.016,-50278.9,74004.45,18999.135,-667.813,-6149.09,67187.12,-9934.601,-79902.09,-14997.306,-26521.71,12073.525,-56627.19,89197.2,-112137.484,21005.512,86966.57,-26275.824,107869.2,-12508.186,51462.555,-84044.266,-4955.64,-15081.56,3558.605,43451.94,163526.36,-79713.836,19777.504,-53042.453,-70617.13,-126176.766,125625.5,-65691.93,-25976.344,-64200.918,-20856.605,13855.004,23879.512,-262.6294,37199.426,110502.53,27073.287,91724.445,111067.695,43490.0,49779.434,-123769.42,-24393.086,22475.71,71534.41,-54399.77,97693.484,-57926.086,31192.191,35219.91,-55722.438,-6326.82,-37439.16,-63969.914,-118909.71,-34533.82,-24232.783,-61333.742,-93859.734,42475.914,106372.14,74474.22,62358.086,-56329.7,58424.035,34951.504,22037.031,24159.494,-38583.71,53845.094,-63054.867,-33757.793,-17498.771,-20939.246,-58483.586,-49091.93,47050.66,-77724.016,637.81104,-35328.906,30136.291,32959.2,-159715.12,-83822.09
-65722.484,-80129.51,66725.08,55608.41,-32033.697,-1167.527,-14046.716,36408.3,99641.266,74741.086,-26358.275,-46840.246,68926.266,17673.438,-607.3974,-5658.3687,62642.297,-9173.926,-74604.164,-13962.018,-24704.035,11296.603,-52819.395,83147.13,-104682.46,19605.582,81082.97,-24483.188,100736.336,-11620.935,48057.65,-78333.89,-4711.9062,-14121.333,3272.2314,40404.61,152521.2,-74458.65,18597.482,-49488.08,-65968.055,-117716.52,117253.38,-61227.35,-24167.195,-60009.414,-19380.117,13068.371,22210.592,-211.09767,34637.297,103148.42,25152.854,85713.0,103769.78,40565.64,46497.484,-115392.1,-22705.814,20935.006,66851.18,-50720.3,91245.45,-53995.82,29177.623,32805.594,-51973.47,-5911.391,-34963.22,-59642.055,-110882.625,-32241.195,-22641.912,-57302.016,-87570.0,39649.07,99266.266,69505.71,58182.992,-52568.246,54406.125,32607.14,20485.076,22569.81,-36080.64,50308.16,-58758.414,-31473.814,-16453.438,-19561.658,-54615.766,-45864.58,44044.035,-72436.53,512.89996,-33026.03,27999.125,30738.197,-149154.28,-78294.43
-116218.44,-142076.12,118418.34,98954.86,-56553.47,-1586.2811,-25018.28,65041.387,176562.3,132493.47,-46675.52,-82848.54,121946.76,31374.018,-1023.6238,-10250.463,110996.14,-16577.111,-132081.23,-24605.385,-43659.523,19777.62,-93279.19,147519.19,-185272.34,34852.32,143790.4,-43183.535,178319.31,-20096.908,85569.664,-138835.47,-8109.063,-24885.256,6180.0874,71891.06,270700.03,-131976.11,32708.684,-87848.445,-116977.195,-208690.23,207707.16,-108799.15,-42984.844,-106270.33,-34389.21,23094.22,39407.418,-619.6036,61248.27,182621.95,44531.64,151055.58,183564.56,71899.22,82258.06,-204736.47,-40305.906,37488.348,118143.48,-89566.87,161406.98,-95687.59,51425.805,58134.3,-92090.94,-10293.223,-61596.656,-105300.21,-196547.98,-57140.77,-39876.426,-101479.56,-155147.4,70074.24,176235.55,122765.23,103103.5,-92902.22,96657.766,57711.184,36126.43,40022.71,-63917.76,88903.1,-104085.35,-55642.92,-29276.51,-34729.832,-96629.234,-81331.54,77988.32,-128268.945,840.2548,-58334.035,49580.387,54276.324,-264268.34,-138920.28
-63661.863,-77682.38,64646.2,53898.133,-31034.785,-1144.6947,-13644.682,35333.527,96614.53,72437.875,-25640.512,-45375.996,66786.25,17099.348,-588.31824,-5416.8022,60725.61,-8838.069,-72330.31,-13497.205,-23887.314,10996.579,-51181.64,80487.39,-101439.04,19057.535,78520.22,-23734.094,97626.484,-11194.836,46619.08,-75905.06,-4596.6055,-13719.077,3122.196,39108.43,147808.55,-72245.18,18072.705,-47941.56,-63943.97,-114182.9,113662.36,-59274.445,-23418.283,-58182.453,-18803.746,12739.795,21454.328,-244.18944,33614.527,99935.484,24329.191,83061.72,100599.38,39299.5,45031.96,-111821.78,-22004.988,20375.84,64800.71,-49143.098,88440.76,-52282.168,28346.78,31807.225,-50346.895,-5682.8076,-33854.805,-57789.29,-107466.75,-31238.477,-21954.346,-55476.125,-84779.6,38546.01,96185.22,67306.76,56434.777,-50952.535,52697.74,31627.799,19776.83,21878.377,-34982.305,48747.98,-56957.555,-30475.256,-15911.388,-18972.336,-52992.242,-44502.66,42722.4,-70185.79,435.5711,-31991.38,27136.559,29765.857,-144585.33,-75960.41
-64910.156,-79177.25,65868.38,54927.605,-31644.365,-1128.1854,-13882.217,35981.883,98468.28,73814.01,-26094.78,-46224.473,68087.81,17426.096,-603.1668,-5516.905,61882.855,-8994.0,-73683.67,-13769.602,-24353.225,11199.885,-52163.22,82052.87,-103362.96,19432.246,80046.055,-24201.22,99508.414,-11410.508,47520.918,-77360.41,-4693.483,-13973.728,3217.1672,39865.76,150655.38,-73608.266,18399.967,-48830.207,-65145.168,-116385.58,115858.34,-60414.957,-23873.287,-59271.82,-19186.463,12954.938,21876.188,-242.44186,34277.29,101853.55,24788.797,84642.48,102549.52,40059.65,45887.92,-113984.336,-22412.178,20752.287,66057.44,-50085.17,90146.38,-53286.254,28881.79,32448.988,-51322.195,-5817.5947,-34494.61,-58923.586,-109551.555,-31846.105,-22367.045,-56549.434,-86424.63,39268.3,98002.836,68642.31,57524.344,-51945.38,53705.375,32231.988,20168.67,22293.064,-35637.95,49707.305,-58045.164,-31086.42,-16219.456,-19319.775,-53996.77,-45343.03,43552.17,-71556.26,446.83878,-32603.533,27636.98,30319.064,-147384.75,-77359.53
-110730.7,-135226.86,112247.56,93738.484,-53892.42,-2047.5286,-23565.94,61289.484,168236.19,125994.79,-44681.74,-78744.98,115974.7,29648.342,-972.0991,-9283.052,105556.164,-15216.3955,-125813.01,-23575.033,-41538.254,19133.291,-88921.94,140122.64,-176433.42,33232.47,136673.5,-41302.867,169965.98,-19473.518,81283.39,-132062.3,-8071.588,-23897.89,5512.88,67896.88,257176.03,-125788.17,31529.623,-83297.55,-111293.62,-198761.03,197784.2,-103081.945,-40855.914,-101145.94,-32826.414,22136.746,37254.293,-500.08295,58411.414,173904.61,42160.69,144513.11,175259.62,68347.055,78409.46,-194540.58,-38220.16,35429.785,112994.22,-85505.09,154062.89,-90946.76,49492.66,55488.06,-87617.016,-10015.975,-58802.305,-100527.16,-187005.56,-54382.496,-38213.754,-96701.71,-147578.95,67071.09,167367.47,117147.41,98268.46,-88774.59,91506.195,55088.098,34453.504,38157.613,-60915.168,84921.81,-98976.875,-53008.527,-27788.17,-33011.13,-92132.49,-77489.99,74602.71,-122134.375,873.31305,-55507.17,47052.742,51835.383,-251733.36,-132096.75
-64167.2,-78284.2,65137.418,54314.59,-31281.951,-1116.5255,-13732.93,35583.977,97361.4,72984.71,-25794.043,-45708.06,67312.83,17229.932,-592.79004,-5463.7295,61169.246,-8905.28,-72849.92,-13604.185,-24070.209,11072.289,-51565.7,81130.85,-102204.21,19225.246,79141.8,-23921.016,98380.445,-11279.501,46990.16,-76491.04,-4645.2417,-13816.526,3177.15,39422.848,148959.8,-72784.06,18192.113,-48287.59,-64416.34,-115068.02,114547.086,-59737.645,-23602.117,-58605.746,-18969.863,12813.639,21631.225,-244.26425,33886.41,100698.945,24513.617,83678.375,101386.05,39608.305,45362.36,-112694.29,-22155.428,20527.709,65299.496,-49527.09,89122.195,-52689.72,28552.223,32087.535,-50740.082,-5739.9453,-34102.695,-58253.668,-108317.75,-31478.93,-22109.033,-55909.305,-85444.54,38820.6,96907.78,67859.08,56873.203,-51356.605,53100.133,31871.18,19946.299,22038.75,-35234.473,49140.64,-57391.27,-30735.656,-16036.306,-19111.695,-53393.598,-44831.48,43056.758,-70744.45,449.67883,-32221.771,27331.156,29982.932,-145704.92,-76495.46
