Id,Label,Type
Protein_PCBP1,Gene_Protein_PCBP1,Gene
Protein_PAK1,Gene_Protein_PAK1,Gene
Protein_DDX39B,Gene_Protein_DDX39B,Gene
Protein_PAK2,Gene_Protein_PAK2,Gene
Protein_CHMP1B,Gene_Protein_CHMP1B,Gene
Protein_PTK2B,Gene_Protein_PTK2B,Gene
Protein_RPLP1,Gene_Protein_RPLP1,Gene
Protein_PPP2CB,Gene_Protein_PPP2CB,Gene
Protein_ACIN1,Gene_Protein_ACIN1,Gene
Protein_TCP1,Gene_Protein_TCP1,Gene
Protein_P4HB,Gene_Protein_P4HB,Gene
Protein_NUP214,Gene_Protein_NUP214,Gene
Protein_NUDT21,Gene_Protein_NUDT21,Gene
Protein_PSME1,Gene_Protein_PSME1,Gene
Protein_DNM2,Gene_Protein_DNM2,Gene
Protein_UFM1,Gene_Protein_UFM1,Gene
Protein_UBE2W,Gene_Protein_UBE2W,Gene
Protein_ETS1,Gene_Protein_ETS1,Gene
Protein_SUPT5H,Gene_Protein_SUPT5H,Gene
Protein_EIF3A,Gene_Protein_EIF3A,Gene
Protein_RPS9,Gene_Protein_RPS9,Gene
Protein_TANK,Gene_Protein_TANK,Gene
Protein_MORF4L1,Gene_Protein_MORF4L1,Gene
Protein_PSMB5,Gene_Protein_PSMB5,Gene
Protein_PTBP1,Gene_Protein_PTBP1,Gene
Protein_RPL10A,Gene_Protein_RPL10A,Gene
Protein_CD22,Gene_Protein_CD22,Gene
Protein_NCK1,Gene_Protein_NCK1,Gene
Protein_UNC119,Gene_Protein_UNC119,Gene
Protein_SREK1,Gene_Protein_SREK1,Gene
Protein_PTPN12,Gene_Protein_PTPN12,Gene
Protein_WDR77,Gene_Protein_WDR77,Gene
Protein_CHMP1A,Gene_Protein_CHMP1A,Gene
Protein_TDP2,Gene_Protein_TDP2,Gene
Protein_GABARAPL2,Gene_Protein_GABARAPL2,Gene
Protein_BID,Gene_Protein_BID,Gene
Protein_PRKAR1A,Gene_Protein_PRKAR1A,Gene
Protein_EEF1D,Gene_Protein_EEF1D,Gene
Protein_TTLL12,Gene_Protein_TTLL12,Gene
Protein_MED4,Gene_Protein_MED4,Gene
Protein_UBE2C,Gene_Protein_UBE2C,Gene
Protein_PEX5,Gene_Protein_PEX5,Gene
Protein_RUNX2,Gene_Protein_RUNX2,Gene
Protein_TRIM23,Gene_Protein_TRIM23,Gene
Protein_STRAP,Gene_Protein_STRAP,Gene
Protein_USP14,Gene_Protein_USP14,Gene
Protein_ATN1,Gene_Protein_ATN1,Gene
Protein_BCR,Gene_Protein_BCR,Gene
Protein_IFIT3,Gene_Protein_IFIT3,Gene
Protein_ACTR3,Gene_Protein_ACTR3,Gene
Protein_MBD2,Gene_Protein_MBD2,Gene
Protein_MARK2,Gene_Protein_MARK2,Gene
Protein_ATG3,Gene_Protein_ATG3,Gene
Protein_LIG4,Gene_Protein_LIG4,Gene
Protein_ATP6V1F,Gene_Protein_ATP6V1F,Gene
Protein_MED30,Gene_Protein_MED30,Gene
Protein_FEZ1,Gene_Protein_FEZ1,Gene
Protein_TFPT,Gene_Protein_TFPT,Gene
Protein_AP2A2,Gene_Protein_AP2A2,Gene
Protein_TUBA4A,Gene_Protein_TUBA4A,Gene
Protein_RBL2,Gene_Protein_RBL2,Gene
Protein_TTC1,Gene_Protein_TTC1,Gene
Protein_TCEA1,Gene_Protein_TCEA1,Gene
Protein_PPP1CB,Gene_Protein_PPP1CB,Gene
Protein_RPS21,Gene_Protein_RPS21,Gene
Protein_UBTF,Gene_Protein_UBTF,Gene
Protein_BAX,Gene_Protein_BAX,Gene
Protein_PRKCB,Gene_Protein_PRKCB,Gene
Protein_NME1,Gene_Protein_NME1,Gene
Protein_DCTN1,Gene_Protein_DCTN1,Gene
Protein_DTNBP1,Gene_Protein_DTNBP1,Gene
Protein_CD9,Gene_Protein_CD9,Gene
Protein_CSE1L,Gene_Protein_CSE1L,Gene
Protein_USP10,Gene_Protein_USP10,Gene
Protein_UTP14A,Gene_Protein_UTP14A,Gene
Protein_TPM3,Gene_Protein_TPM3,Gene
Protein_RAB11A,Gene_Protein_RAB11A,Gene
Protein_CSTF2,Gene_Protein_CSTF2,Gene
Protein_CTBP2,Gene_Protein_CTBP2,Gene
Protein_PDCD10,Gene_Protein_PDCD10,Gene
Protein_IRF7,Gene_Protein_IRF7,Gene
Protein_RNF31,Gene_Protein_RNF31,Gene
Protein_ADRM1,Gene_Protein_ADRM1,Gene
Protein_MRPL12,Gene_Protein_MRPL12,Gene
