node_id,node_type,node_category,hasGroupId,hasGender,hasAge,hasSeverity,hasSiteOfInfection,hasDiseaseStatus,hasTissue,hasGroupDay,hasNeutrophilProportion,hasTypeRegulation,hasPValue,hasLog2_FC,hasName,hasDescription,hasID,hasURI,normalized_label,short_label
Protein_AASDHPPT,Protein,Gene/Protein,,,,,,,,,,No change,0.0033190344107066,-0.064103078581585,,,,,AASDHPPT,AASDHPPT
GO_0005737_instance,GO_0005737,GO Term,,,,,,,,,,,,,,,,,GO:0005737_instance,GO:0005737_instance
GO_0110165_instance,GO_0110165,GO Term,,,,,,,,,,,,,,,,,GO:0110165_instance,GO:0110165_instance
GO_0005622_instance,GO_0005622,GO Term,,,,,,,,,,,,,,,,,GO:0005622_instance,GO:0005622_instance
GO_0005515_instance,GO_0005515,GO Term,,,,,,,,,,,,,,,,,GO:0005515_instance,GO:0005515_instance
GO_0005488_instance,GO_0005488,GO Term,,,,,,,,,,,,,,,,,GO:0005488_instance,GO:0005488_instance
GO_0005829_instance,GO_0005829,GO Term,,,,,,,,,,,,,,,,,GO:0005829_instance,GO:0005829_instance
GO_0043227_instance,GO_0043227,GO Term,,,,,,,,,,,,,,,,,GO:0043227_instance,GO:0043227_instance
GO_0043226_instance,GO_0043226,GO Term,,,,,,,,,,,,,,,,,GO:0043226_instance,GO:0043226_instance
GO_0016020_instance,GO_0016020,GO Term,,,,,,,,,,,,,,,,,GO:0016020_instance,GO:0016020_instance
GO_0003674_instance,GO_0003674,GO Term,,,,,,,,,,,,,,,,,GO:0003674_instance,GO:0003674_instance
GO_0019538_instance,GO_0019538,GO Term,,,,,,,,,,,,,,,,,GO:0019538_instance,GO:0019538_instance
GO_0044238_instance,GO_0044238,GO Term,,,,,,,,,,,,,,,,,GO:0044238_instance,GO:0044238_instance
GO_0043170_instance,GO_0043170,GO Term,,,,,,,,,,,,,,,,,GO:0043170_instance,GO:0043170_instance
GO_0009056_instance,GO_0009056,GO Term,,,,,,,,,,,,,,,,,GO:0009056_instance,GO:0009056_instance
GO_0008152_instance,GO_0008152,GO Term,,,,,,,,,,,,,,,,,GO:0008152_instance,GO:0008152_instance
GO_0031982_instance,GO_0031982,GO Term,,,,,,,,,,,,,,,,,GO:0031982_instance,GO:0031982_instance
GO_0003824_instance,GO_0003824,GO Term,,,,,,,,,,,,,,,,,GO:0003824_instance,GO:0003824_instance
GO_0005575_instance,GO_0005575,GO Term,,,,,,,,,,,,,,,,,GO:0005575_instance,GO:0005575_instance
GO_0070062_instance,GO_0070062,GO Term,,,,,,,,,,,,,,,,,GO:0070062_instance,GO:0070062_instance
GO_1903561_instance,GO_1903561,GO Term,,,,,,,,,,,,,,,,,GO:1903561_instance,GO:1903561_instance
GO_0005615_instance,GO_0005615,GO Term,,,,,,,,,,,,,,,,,GO:0005615_instance,GO:0005615_instance
GO_0065010_instance,GO_0065010,GO Term,,,,,,,,,,,,,,,,,GO:0065010_instance,GO:0065010_instance
GO_0043230_instance,GO_0043230,GO Term,,,,,,,,,,,,,,,,,GO:0043230_instance,GO:0043230_instance
GO_0005576_instance,GO_0005576,GO Term,,,,,,,,,,,,,,,,,GO:0005576_instance,GO:0005576_instance
GO_0009987_instance,GO_0009987,GO Term,,,,,,,,,,,,,,,,,GO:0009987_instance,GO:0009987_instance
GO_0008150_instance,GO_0008150,GO Term,,,,,,,,,,,,,,,,,GO:0008150_instance,GO:0008150_instance
GO_0036094_instance,GO_0036094,GO Term,,,,,,,,,,,,,,,,,GO:0036094_instance,GO:0036094_instance
GO_0043167_instance,GO_0043167,GO Term,,,,,,,,,,,,,,,,,GO:0043167_instance,GO:0043167_instance
Protein_ABAT,Protein,Gene/Protein,,,,,,,,,,No change,0.0082177429166479,-0.0879227823401134,,,,,ABAT,ABAT
GO_0043231_instance,GO_0043231,GO Term,,,,,,,,,,,,,,,,,GO:0043231_instance,GO:0043231_instance
GO_0043229_instance,GO_0043229,GO Term,,,,,,,,,,,,,,,,,GO:0043229_instance,GO:0043229_instance
GO_0031974_instance,GO_0031974,GO Term,,,,,,,,,,,,,,,,,GO:0031974_instance,GO:0031974_instance
GO_0043233_instance,GO_0043233,GO Term,,,,,,,,,,,,,,,,,GO:0043233_instance,GO:0043233_instance
GO_0070013_instance,GO_0070013,GO Term,,,,,,,,,,,,,,,,,GO:0070013_instance,GO:0070013_instance
GO_1902494_instance,GO_1902494,GO Term,,,,,,,,,,,,,,,,,GO:1902494_instance,GO:1902494_instance
GO_0032991_instance,GO_0032991,GO Term,,,,,,,,,,,,,,,,,GO:0032991_instance,GO:0032991_instance
GO_0048522_instance,GO_0048522,GO Term,,,,,,,,,,,,,,,,,GO:0048522_instance,GO:0048522_instance
GO_0048518_instance,GO_0048518,GO Term,,,,,,,,,,,,,,,,,GO:0048518_instance,GO:0048518_instance
GO_0050794_instance,GO_0050794,GO Term,,,,,,,,,,,,,,,,,GO:0050794_instance,GO:0050794_instance
GO_0050789_instance,GO_0050789,GO Term,,,,,,,,,,,,,,,,,GO:0050789_instance,GO:0050789_instance
GO_0019899_instance,GO_0019899,GO Term,,,,,,,,,,,,,,,,,GO:0019899_instance,GO:0019899_instance
GO_0009893_instance,GO_0009893,GO Term,,,,,,,,,,,,,,,,,GO:0009893_instance,GO:0009893_instance
GO_0019222_instance,GO_0019222,GO Term,,,,,,,,,,,,,,,,,GO:0019222_instance,GO:0019222_instance
GO_0051641_instance,GO_0051641,GO Term,,,,,,,,,,,,,,,,,GO:0051641_instance,GO:0051641_instance
GO_0051179_instance,GO_0051179,GO Term,,,,,,,,,,,,,,,,,GO:0051179_instance,GO:0051179_instance
GO_0006950_instance,GO_0006950,GO Term,,,,,,,,,,,,,,,,,GO:0006950_instance,GO:0006950_instance
GO_0050896_instance,GO_0050896,GO Term,,,,,,,,,,,,,,,,,GO:0050896_instance,GO:0050896_instance
GO_0080090_instance,GO_0080090,GO Term,,,,,,,,,,,,,,,,,GO:0080090_instance,GO:0080090_instance
GO_0048523_instance,GO_0048523,GO Term,,,,,,,,,,,,,,,,,GO:0048523_instance,GO:0048523_instance
GO_0048519_instance,GO_0048519,GO Term,,,,,,,,,,,,,,,,,GO:0048519_instance,GO:0048519_instance
GO_0065007_instance,GO_0065007,GO Term,,,,,,,,,,,,,,,,,GO:0065007_instance,GO:0065007_instance
GO_0071705_instance,GO_0071705,GO Term,,,,,,,,,,,,,,,,,GO:0071705_instance,GO:0071705_instance
GO_0006810_instance,GO_0006810,GO Term,,,,,,,,,,,,,,,,,GO:0006810_instance,GO:0006810_instance
GO_0051234_instance,GO_0051234,GO Term,,,,,,,,,,,,,,,,,GO:0051234_instance,GO:0051234_instance
GO_0070727_instance,GO_0070727,GO Term,,,,,,,,,,,,,,,,,GO:0070727_instance,GO:0070727_instance
GO_0140535_instance,GO_0140535,GO Term,,,,,,,,,,,,,,,,,GO:0140535_instance,GO:0140535_instance
GO_0008104_instance,GO_0008104,GO Term,,,,,,,,,,,,,,,,,GO:0008104_instance,GO:0008104_instance
GO_0033036_instance,GO_0033036,GO Term,,,,,,,,,,,,,,,,,GO:0033036_instance,GO:0033036_instance
GO_0015031_instance,GO_0015031,GO Term,,,,,,,,,,,,,,,,,GO:0015031_instance,GO:0015031_instance
GO_0045184_instance,GO_0045184,GO Term,,,,,,,,,,,,,,,,,GO:0045184_instance,GO:0045184_instance
GO_0048583_instance,GO_0048583,GO Term,,,,,,,,,,,,,,,,,GO:0048583_instance,GO:0048583_instance
GO_1990234_instance,GO_1990234,GO Term,,,,,,,,,,,,,,,,,GO:1990234_instance,GO:1990234_instance
GO_0042802_instance,GO_0042802,GO Term,,,,,,,,,,,,,,,,,GO:0042802_instance,GO:0042802_instance
GO_0005739_instance,GO_0005739,GO Term,,,,,,,,,,,,,,,,,GO:0005739_instance,GO:0005739_instance
GO_0009966_instance,GO_0009966,GO Term,,,,,,,,,,,,,,,,,GO:0009966_instance,GO:0009966_instance
GO_0023051_instance,GO_0023051,GO Term,,,,,,,,,,,,,,,,,GO:0023051_instance,GO:0023051_instance
GO_0010646_instance,GO_0010646,GO Term,,,,,,,,,,,,,,,,,GO:0010646_instance,GO:0010646_instance
GO_0007165_instance,GO_0007165,GO Term,,,,,,,,,,,,,,,,,GO:0007165_instance,GO:0007165_instance
GO_0051716_instance,GO_0051716,GO Term,,,,,,,,,,,,,,,,,GO:0051716_instance,GO:0051716_instance
GO_0007154_instance,GO_0007154,GO Term,,,,,,,,,,,,,,,,,GO:0007154_instance,GO:0007154_instance
GO_0023052_instance,GO_0023052,GO Term,,,,,,,,,,,,,,,,,GO:0023052_instance,GO:0023052_instance
GO_0032879_instance,GO_0032879,GO Term,,,,,,,,,,,,,,,,,GO:0032879_instance,GO:0032879_instance
GO_1901363_instance,GO_1901363,GO Term,,,,,,,,,,,,,,,,,GO:1901363_instance,GO:1901363_instance
GO_0051239_instance,GO_0051239,GO Term,,,,,,,,,,,,,,,,,GO:0051239_instance,GO:0051239_instance
GO_0032501_instance,GO_0032501,GO Term,,,,,,,,,,,,,,,,,GO:0032501_instance,GO:0032501_instance
GO_0051240_instance,GO_0051240,GO Term,,,,,,,,,,,,,,,,,GO:0051240_instance,GO:0051240_instance
GO_0065008_instance,GO_0065008,GO Term,,,,,,,,,,,,,,,,,GO:0065008_instance,GO:0065008_instance
GO_0032502_instance,GO_0032502,GO Term,,,,,,,,,,,,,,,,,GO:0032502_instance,GO:0032502_instance
GO_0043168_instance,GO_0043168,GO Term,,,,,,,,,,,,,,,,,GO:0043168_instance,GO:0043168_instance
GO_0048856_instance,GO_0048856,GO Term,,,,,,,,,,,,,,,,,GO:0048856_instance,GO:0048856_instance
GO_0060341_instance,GO_0060341,GO Term,,,,,,,,,,,,,,,,,GO:0060341_instance,GO:0060341_instance
GO_0051049_instance,GO_0051049,GO Term,,,,,,,,,,,,,,,,,GO:0051049_instance,GO:0051049_instance
GO_0005759_instance,GO_0005759,GO Term,,,,,,,,,,,,,,,,,GO:0005759_instance,GO:0005759_instance
Protein_ABCA7,Protein,Gene/Protein,,,,,,,,,,No change,0.0089991538159015,0.2346425825153115,,,,,ABCA7,ABCA7
GO_0031090_instance,GO_0031090,GO Term,,,,,,,,,,,,,,,,,GO:0031090_instance,GO:0031090_instance
GO_0012505_instance,GO_0012505,GO Term,,,,,,,,,,,,,,,,,GO:0012505_instance,GO:0012505_instance
GO_0005886_instance,GO_0005886,GO Term,,,,,,,,,,,,,,,,,GO:0005886_instance,GO:0005886_instance
GO_0005773_instance,GO_0005773,GO Term,,,,,,,,,,,,,,,,,GO:0005773_instance,GO:0005773_instance
GO_0016192_instance,GO_0016192,GO Term,,,,,,,,,,,,,,,,,GO:0016192_instance,GO:0016192_instance
GO_0033554_instance,GO_0033554,GO Term,,,,,,,,,,,,,,,,,GO:0033554_instance,GO:0033554_instance
GO_0035556_instance,GO_0035556,GO Term,,,,,,,,,,,,,,,,,GO:0035556_instance,GO:0035556_instance
GO_0051128_instance,GO_0051128,GO Term,,,,,,,,,,,,,,,,,GO:0051128_instance,GO:0051128_instance
GO_0016043_instance,GO_0016043,GO Term,,,,,,,,,,,,,,,,,GO:0016043_instance,GO:0016043_instance
GO_0031410_instance,GO_0031410,GO Term,,,,,,,,,,,,,,,,,GO:0031410_instance,GO:0031410_instance
GO_0097708_instance,GO_0097708,GO Term,,,,,,,,,,,,,,,,,GO:0097708_instance,GO:0097708_instance
GO_0098588_instance,GO_0098588,GO Term,,,,,,,,,,,,,,,,,GO:0098588_instance,GO:0098588_instance
GO_0036211_instance,GO_0036211,GO Term,,,,,,,,,,,,,,,,,GO:0036211_instance,GO:0036211_instance
GO_0043412_instance,GO_0043412,GO Term,,,,,,,,,,,,,,,,,GO:0043412_instance,GO:0043412_instance
GO_0010256_instance,GO_0010256,GO Term,,,,,,,,,,,,,,,,,GO:0010256_instance,GO:0010256_instance
GO_0060255_instance,GO_0060255,GO Term,,,,,,,,,,,,,,,,,GO:0060255_instance,GO:0060255_instance
GO_1902531_instance,GO_1902531,GO Term,,,,,,,,,,,,,,,,,GO:1902531_instance,GO:1902531_instance
GO_0005768_instance,GO_0005768,GO Term,,,,,,,,,,,,,,,,,GO:0005768_instance,GO:0005768_instance
GO_0005783_instance,GO_0005783,GO Term,,,,,,,,,,,,,,,,,GO:0005783_instance,GO:0005783_instance
GO_0005794_instance,GO_0005794,GO Term,,,,,,,,,,,,,,,,,GO:0005794_instance,GO:0005794_instance
GO_0012506_instance,GO_0012506,GO Term,,,,,,,,,,,,,,,,,GO:0012506_instance,GO:0012506_instance
GO_0061024_instance,GO_0061024,GO Term,,,,,,,,,,,,,,,,,GO:0061024_instance,GO:0061024_instance
GO_0080134_instance,GO_0080134,GO Term,,,,,,,,,,,,,,,,,GO:0080134_instance,GO:0080134_instance
GO_0030659_instance,GO_0030659,GO Term,,,,,,,,,,,,,,,,,GO:0030659_instance,GO:0030659_instance
GO_0009889_instance,GO_0009889,GO Term,,,,,,,,,,,,,,,,,GO:0009889_instance,GO:0009889_instance
GO_0009058_instance,GO_0009058,GO Term,,,,,,,,,,,,,,,,,GO:0009058_instance,GO:0009058_instance
GO_0000139_instance,GO_0000139,GO Term,,,,,,,,,,,,,,,,,GO:0000139_instance,GO:0000139_instance
GO_0051246_instance,GO_0051246,GO Term,,,,,,,,,,,,,,,,,GO:0051246_instance,GO:0051246_instance
GO_0141124_instance,GO_0141124,GO Term,,,,,,,,,,,,,,,,,GO:0141124_instance,GO:0141124_instance
GO_0009892_instance,GO_0009892,GO Term,,,,,,,,,,,,,,,,,GO:0009892_instance,GO:0009892_instance
GO_0051130_instance,GO_0051130,GO Term,,,,,,,,,,,,,,,,,GO:0051130_instance,GO:0051130_instance
GO_0010556_instance,GO_0010556,GO Term,,,,,,,,,,,,,,,,,GO:0010556_instance,GO:0010556_instance
GO_0009059_instance,GO_0009059,GO Term,,,,,,,,,,,,,,,,,GO:0009059_instance,GO:0009059_instance
GO_0010008_instance,GO_0010008,GO Term,,,,,,,,,,,,,,,,,GO:0010008_instance,GO:0010008_instance
GO_0048584_instance,GO_0048584,GO Term,,,,,,,,,,,,,,,,,GO:0048584_instance,GO:0048584_instance
GO_0071840_instance,GO_0071840,GO Term,,,,,,,,,,,,,,,,,GO:0071840_instance,GO:0071840_instance
GO_0048585_instance,GO_0048585,GO Term,,,,,,,,,,,,,,,,,GO:0048585_instance,GO:0048585_instance
GO_0030054_instance,GO_0030054,GO Term,,,,,,,,,,,,,,,,,GO:0030054_instance,GO:0030054_instance
GO_0017076_instance,GO_0017076,GO Term,,,,,,,,,,,,,,,,,GO:0017076_instance,GO:0017076_instance
GO_0000166_instance,GO_0000166,GO Term,,,,,,,,,,,,,,,,,GO:0000166_instance,GO:0000166_instance
GO_0080135_instance,GO_0080135,GO Term,,,,,,,,,,,,,,,,,GO:0080135_instance,GO:0080135_instance
GO_0010605_instance,GO_0010605,GO Term,,,,,,,,,,,,,,,,,GO:0010605_instance,GO:0010605_instance
GO_0006897_instance,GO_0006897,GO Term,,,,,,,,,,,,,,,,,GO:0006897_instance,GO:0006897_instance
GO_0098657_instance,GO_0098657,GO Term,,,,,,,,,,,,,,,,,GO:0098657_instance,GO:0098657_instance
GO_0006900_instance,GO_0006900,GO Term,,,,,,,,,,,,,,,,,GO:0006900_instance,GO:0006900_instance
GO_0010324_instance,GO_0010324,GO Term,,,,,,,,,,,,,,,,,GO:0010324_instance,GO:0010324_instance
GO_1901265_instance,GO_1901265,GO Term,,,,,,,,,,,,,,,,,GO:1901265_instance,GO:1901265_instance
GO_0009968_instance,GO_0009968,GO Term,,,,,,,,,,,,,,,,,GO:0009968_instance,GO:0009968_instance
GO_0023057_instance,GO_0023057,GO Term,,,,,,,,,,,,,,,,,GO:0023057_instance,GO:0023057_instance
GO_0010648_instance,GO_0010648,GO Term,,,,,,,,,,,,,,,,,GO:0010648_instance,GO:0010648_instance
GO_0033365_instance,GO_0033365,GO Term,,,,,,,,,,,,,,,,,GO:0033365_instance,GO:0033365_instance
GO_1902532_instance,GO_1902532,GO Term,,,,,,,,,,,,,,,,,GO:1902532_instance,GO:1902532_instance
GO_0051129_instance,GO_0051129,GO Term,,,,,,,,,,,,,,,,,GO:0051129_instance,GO:0051129_instance
GO_0035639_instance,GO_0035639,GO Term,,,,,,,,,,,,,,,,,GO:0035639_instance,GO:0035639_instance
GO_0032555_instance,GO_0032555,GO Term,,,,,,,,,,,,,,,,,GO:0032555_instance,GO:0032555_instance
GO_0032553_instance,GO_0032553,GO Term,,,,,,,,,,,,,,,,,GO:0032553_instance,GO:0032553_instance
GO_0097367_instance,GO_0097367,GO Term,,,,,,,,,,,,,,,,,GO:0097367_instance,GO:0097367_instance
GO_0060627_instance,GO_0060627,GO Term,,,,,,,,,,,,,,,,,GO:0060627_instance,GO:0060627_instance
GO_0005769_instance,GO_0005769,GO Term,,,,,,,,,,,,,,,,,GO:0005769_instance,GO:0005769_instance
GO_1902533_instance,GO_1902533,GO Term,,,,,,,,,,,,,,,,,GO:1902533_instance,GO:1902533_instance
GO_0009967_instance,GO_0009967,GO Term,,,,,,,,,,,,,,,,,GO:0009967_instance,GO:0009967_instance
GO_0034976_instance,GO_0034976,GO Term,,,,,,,,,,,,,,,,,GO:0034976_instance,GO:0034976_instance
GO_0031252_instance,GO_0031252,GO Term,,,,,,,,,,,,,,,,,GO:0031252_instance,GO:0031252_instance
Protein_ABCD1,Protein,Gene/Protein,,,,,,,,,,No change,0.0031107929477746,0.1836269690944885,,,,,ABCD1,ABCD1
GO_0006996_instance,GO_0006996,GO Term,,,,,,,,,,,,,,,,,GO:0006996_instance,GO:0006996_instance
GO_0051649_instance,GO_0051649,GO Term,,,,,,,,,,,,,,,,,GO:0051649_instance,GO:0051649_instance
GO_0046907_instance,GO_0046907,GO Term,,,,,,,,,,,,,,,,,GO:0046907_instance,GO:0046907_instance
GO_0009891_instance,GO_0009891,GO Term,,,,,,,,,,,,,,,,,GO:0009891_instance,GO:0009891_instance
GO_0031967_instance,GO_0031967,GO Term,,,,,,,,,,,,,,,,,GO:0031967_instance,GO:0031967_instance
GO_0031984_instance,GO_0031984,GO Term,,,,,,,,,,,,,,,,,GO:0031984_instance,GO:0031984_instance
GO_0005740_instance,GO_0005740,GO Term,,,,,,,,,,,,,,,,,GO:0005740_instance,GO:0005740_instance
GO_0031966_instance,GO_0031966,GO Term,,,,,,,,,,,,,,,,,GO:0031966_instance,GO:0031966_instance
GO_0042175_instance,GO_0042175,GO Term,,,,,,,,,,,,,,,,,GO:0042175_instance,GO:0042175_instance
GO_0098827_instance,GO_0098827,GO Term,,,,,,,,,,,,,,,,,GO:0098827_instance,GO:0098827_instance
GO_0005789_instance,GO_0005789,GO Term,,,,,,,,,,,,,,,,,GO:0005789_instance,GO:0005789_instance
GO_0009894_instance,GO_0009894,GO Term,,,,,,,,,,,,,,,,,GO:0009894_instance,GO:0009894_instance
GO_0010468_instance,GO_0010468,GO Term,,,,,,,,,,,,,,,,,GO:0010468_instance,GO:0010468_instance
GO_0010467_instance,GO_0010467,GO Term,,,,,,,,,,,,,,,,,GO:0010467_instance,GO:0010467_instance
GO_0006796_instance,GO_0006796,GO Term,,,,,,,,,,,,,,,,,GO:0006796_instance,GO:0006796_instance
GO_0006793_instance,GO_0006793,GO Term,,,,,,,,,,,,,,,,,GO:0006793_instance,GO:0006793_instance
GO_0006952_instance,GO_0006952,GO Term,,,,,,,,,,,,,,,,,GO:0006952_instance,GO:0006952_instance
GO_0009060_instance,GO_0009060,GO Term,,,,,,,,,,,,,,,,,GO:0009060_instance,GO:0009060_instance
GO_0045333_instance,GO_0045333,GO Term,,,,,,,,,,,,,,,,,GO:0045333_instance,GO:0045333_instance
GO_0001817_instance,GO_0001817,GO Term,,,,,,,,,,,,,,,,,GO:0001817_instance,GO:0001817_instance
GO_0001816_instance,GO_0001816,GO Term,,,,,,,,,,,,,,,,,GO:0001816_instance,GO:0001816_instance
GO_0005774_instance,GO_0005774,GO Term,,,,,,,,,,,,,,,,,GO:0005774_instance,GO:0005774_instance
GO_0000323_instance,GO_0000323,GO Term,,,,,,,,,,,,,,,,,GO:0000323_instance,GO:0000323_instance
GO_0005764_instance,GO_0005764,GO Term,,,,,,,,,,,,,,,,,GO:0005764_instance,GO:0005764_instance
GO_0015980_instance,GO_0015980,GO Term,,,,,,,,,,,,,,,,,GO:0015980_instance,GO:0015980_instance
GO_0006091_instance,GO_0006091,GO Term,,,,,,,,,,,,,,,,,GO:0006091_instance,GO:0006091_instance
GO_0005765_instance,GO_0005765,GO Term,,,,,,,,,,,,,,,,,GO:0005765_instance,GO:0005765_instance
GO_0098852_instance,GO_0098852,GO Term,,,,,,,,,,,,,,,,,GO:0098852_instance,GO:0098852_instance
GO_0015931_instance,GO_0015931,GO Term,,,,,,,,,,,,,,,,,GO:0015931_instance,GO:0015931_instance
Protein_ABCF1,Protein,Gene/Protein,,,,,,,,,,No change,0.0002356728892555,0.1961957735194657,,,,,ABCF1,ABCF1
GO_0005654_instance,GO_0005654,GO Term,,,,,,,,,,,,,,,,,GO:0005654_instance,GO:0005654_instance
GO_0031981_instance,GO_0031981,GO Term,,,,,,,,,,,,,,,,,GO:0031981_instance,GO:0031981_instance
GO_0005634_instance,GO_0005634,GO Term,,,,,,,,,,,,,,,,,GO:0005634_instance,GO:0005634_instance
GO_0010604_instance,GO_0010604,GO Term,,,,,,,,,,,,,,,,,GO:0010604_instance,GO:0010604_instance
GO_0010557_instance,GO_0010557,GO Term,,,,,,,,,,,,,,,,,GO:0010557_instance,GO:0010557_instance
GO_0044877_instance,GO_0044877,GO Term,,,,,,,,,,,,,,,,,GO:0044877_instance,GO:0044877_instance
GO_0006412_instance,GO_0006412,GO Term,,,,,,,,,,,,,,,,,GO:0006412_instance,GO:0006412_instance
GO_0006414_instance,GO_0006414,GO Term,,,,,,,,,,,,,,,,,GO:0006414_instance,GO:0006414_instance
GO_0006415_instance,GO_0006415,GO Term,,,,,,,,,,,,,,,,,GO:0006415_instance,GO:0006415_instance
GO_0006413_instance,GO_0006413,GO Term,,,,,,,,,,,,,,,,,GO:0006413_instance,GO:0006413_instance
GO_0010628_instance,GO_0010628,GO Term,,,,,,,,,,,,,,,,,GO:0010628_instance,GO:0010628_instance
GO_0005635_instance,GO_0005635,GO Term,,,,,,,,,,,,,,,,,GO:0005635_instance,GO:0005635_instance
Protein_AOC1,Protein,Gene/Protein,,,,,,,,,,No change,0.0053305615814141,0.2467958954457589,,,,,AOC1,AOC1
GO_0070161_instance,GO_0070161,GO Term,,,,,,,,,,,,,,,,,GO:0070161_instance,GO:0070161_instance
GO_0099503_instance,GO_0099503,GO Term,,,,,,,,,,,,,,,,,GO:0099503_instance,GO:0099503_instance
GO_0030141_instance,GO_0030141,GO Term,,,,,,,,,,,,,,,,,GO:0030141_instance,GO:0030141_instance
Protein_ACAD8,Protein,Gene/Protein,,,,,,,,,,No change,0.0007790588614532,-0.114357795533027,,,,,ACAD8,ACAD8
Protein_ACADVL,Protein,Gene/Protein,,,,,,,,,,No change,0.0086717886025951,0.1557807980312784,,,,,ACADVL,ACADVL
GO_0043232_instance,GO_0043232,GO Term,,,,,,,,,,,,,,,,,GO:0043232_instance,GO:0043232_instance
GO_0043228_instance,GO_0043228,GO Term,,,,,,,,,,,,,,,,,GO:0043228_instance,GO:0043228_instance
GO_0019866_instance,GO_0019866,GO Term,,,,,,,,,,,,,,,,,GO:0019866_instance,GO:0019866_instance
GO_0005743_instance,GO_0005743,GO Term,,,,,,,,,,,,,,,,,GO:0005743_instance,GO:0005743_instance
Protein_ACBD5,Protein,Gene/Protein,,,,,,,,,,No change,0.0044513976953894,-0.0670088553245848,,,,,ACBD5,ACBD5
GO_0006914_instance,GO_0006914,GO Term,,,,,,,,,,,,,,,,,GO:0006914_instance,GO:0006914_instance
GO_0061919_instance,GO_0061919,GO Term,,,,,,,,,,,,,,,,,GO:0061919_instance,GO:0061919_instance
GO_0055085_instance,GO_0055085,GO Term,,,,,,,,,,,,,,,,,GO:0055085_instance,GO:0055085_instance
Protein_ACIN1,Protein,Gene/Protein,,,,,,,,,,No change,2.8265809407504687e-09,0.3138888100995185,,,,,ACIN1,ACIN1
GO_0008219_instance,GO_0008219,GO Term,,,,,,,,,,,,,,,,,GO:0008219_instance,GO:0008219_instance
GO_0016604_instance,GO_0016604,GO Term,,,,,,,,,,,,,,,,,GO:0016604_instance,GO:0016604_instance
GO_0012501_instance,GO_0012501,GO Term,,,,,,,,,,,,,,,,,GO:0012501_instance,GO:0012501_instance
GO_0006915_instance,GO_0006915,GO Term,,,,,,,,,,,,,,,,,GO:0006915_instance,GO:0006915_instance
GO_0097194_instance,GO_0097194,GO Term,,,,,,,,,,,,,,,,,GO:0097194_instance,GO:0097194_instance
GO_0097190_instance,GO_0097190,GO Term,,,,,,,,,,,,,,,,,GO:0097190_instance,GO:0097190_instance
GO_0016607_instance,GO_0016607,GO Term,,,,,,,,,,,,,,,,,GO:0016607_instance,GO:0016607_instance
GO_0140168_instance,GO_0140168,GO Term,,,,,,,,,,,,,,,,,GO:0140168_instance,GO:0140168_instance
GO_0043067_instance,GO_0043067,GO Term,,,,,,,,,,,,,,,,,GO:0043067_instance,GO:0043067_instance
GO_0019219_instance,GO_0019219,GO Term,,,,,,,,,,,,,,,,,GO:0019219_instance,GO:0019219_instance
GO_0006139_instance,GO_0006139,GO Term,,,,,,,,,,,,,,,,,GO:0006139_instance,GO:0006139_instance
GO_0042981_instance,GO_0042981,GO Term,,,,,,,,,,,,,,,,,GO:0042981_instance,GO:0042981_instance
GO_0002682_instance,GO_0002682,GO Term,,,,,,,,,,,,,,,,,GO:0002682_instance,GO:0002682_instance
GO_0002376_instance,GO_0002376,GO Term,,,,,,,,,,,,,,,,,GO:0002376_instance,GO:0002376_instance
GO_0051252_instance,GO_0051252,GO Term,,,,,,,,,,,,,,,,,GO:0051252_instance,GO:0051252_instance
GO_0016070_instance,GO_0016070,GO Term,,,,,,,,,,,,,,,,,GO:0016070_instance,GO:0016070_instance
GO_1903311_instance,GO_1903311,GO Term,,,,,,,,,,,,,,,,,GO:1903311_instance,GO:1903311_instance
GO_0016071_instance,GO_0016071,GO Term,,,,,,,,,,,,,,,,,GO:0016071_instance,GO:0016071_instance
GO_0051276_instance,GO_0051276,GO Term,,,,,,,,,,,,,,,,,GO:0051276_instance,GO:0051276_instance
GO_0030097_instance,GO_0030097,GO Term,,,,,,,,,,,,,,,,,GO:0030097_instance,GO:0030097_instance
GO_0048468_instance,GO_0048468,GO Term,,,,,,,,,,,,,,,,,GO:0048468_instance,GO:0048468_instance
GO_0022411_instance,GO_0022411,GO Term,,,,,,,,,,,,,,,,,GO:0022411_instance,GO:0022411_instance
GO_0043068_instance,GO_0043068,GO Term,,,,,,,,,,,,,,,,,GO:0043068_instance,GO:0043068_instance
GO_0050684_instance,GO_0050684,GO Term,,,,,,,,,,,,,,,,,GO:0050684_instance,GO:0050684_instance
GO_0006397_instance,GO_0006397,GO Term,,,,,,,,,,,,,,,,,GO:0006397_instance,GO:0006397_instance
GO_0043065_instance,GO_0043065,GO Term,,,,,,,,,,,,,,,,,GO:0043065_instance,GO:0043065_instance
GO_0051253_instance,GO_0051253,GO Term,,,,,,,,,,,,,,,,,GO:0051253_instance,GO:0051253_instance
GO_0045934_instance,GO_0045934,GO Term,,,,,,,,,,,,,,,,,GO:0045934_instance,GO:0045934_instance
GO_0043484_instance,GO_0043484,GO Term,,,,,,,,,,,,,,,,,GO:0043484_instance,GO:0043484_instance
GO_0008380_instance,GO_0008380,GO Term,,,,,,,,,,,,,,,,,GO:0008380_instance,GO:0008380_instance
GO_0002684_instance,GO_0002684,GO Term,,,,,,,,,,,,,,,,,GO:0002684_instance,GO:0002684_instance
