node_id,node_type,node_category,hasGroupId,hasGender,hasAge,hasSeverity,hasSiteOfInfection,hasDiseaseStatus,hasTissue,hasGroupDay,hasNeutrophilProportion,hasTypeRegulation,hasPValue,hasLog2_FC,hasName,hasDescription,hasID,hasURI,normalized_label,short_label
Reaction_R-HSA-5693602,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-5693602,R-HSA-5693602
Reaction_R-HSA-9011941,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9011941,R-HSA-9011941
Reaction_R-HSA-9011981,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9011981,R-HSA-9011981
Reaction_R-HSA-9011984,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9011984,R-HSA-9011984
Reaction_R-HSA-9011985,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9011985,R-HSA-9011985
Reaction_R-HSA-912450,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-912450,R-HSA-912450
Reaction_R-HSA-912458,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-912458,R-HSA-912458
Reaction_R-HSA-912467,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-912467,R-HSA-912467
Reaction_R-HSA-912470,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-912470,R-HSA-912470
Reaction_R-HSA-912496,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-912496,R-HSA-912496
Reaction_R-HSA-912503,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-912503,R-HSA-912503
Reaction_R-HSA-9614811,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9614811,R-HSA-9614811
Reaction_R-HSA-9698928,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9698928,R-HSA-9698928
Reaction_R-HSA-977224,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-977224,R-HSA-977224
Reaction_R-HSA-9817458,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9817458,R-HSA-9817458
Reaction_R-HSA-9817512,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9817512,R-HSA-9817512
Reaction_R-HSA-9817513,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9817513,R-HSA-9817513
Reaction_R-HSA-9822185,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9822185,R-HSA-9822185
Reaction_R-HSA-9822591,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9822591,R-HSA-9822591
Reaction_R-HSA-9822597,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9822597,R-HSA-9822597
Reaction_R-NUL-4549261,Reaction,Other,,,,,,,,,,,,,,,,,R-NUL-4549261,R-NUL-4549261
Reaction_R-NUL-4568946,Reaction,Other,,,,,,,,,,,,,,,,,R-NUL-4568946,R-NUL-4568946
Reaction_R-HSA-70420,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-70420,R-HSA-70420
Reaction_R-HSA-2213244,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-2213244,R-HSA-2213244
Reaction_R-HSA-2213246,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-2213246,R-HSA-2213246
Reaction_R-HSA-168166,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-168166,R-HSA-168166
Reaction_R-HSA-266204,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-266204,R-HSA-266204
Reaction_R-HSA-5432825,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-5432825,R-HSA-5432825
Reaction_R-HSA-6804099,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-6804099,R-HSA-6804099
Reaction_R-HSA-6804100,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-6804100,R-HSA-6804100
Reaction_R-HSA-6805981,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-6805981,R-HSA-6805981
Reaction_R-HSA-879362,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-879362,R-HSA-879362
Reaction_R-HSA-879411,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-879411,R-HSA-879411
Reaction_R-NUL-997411,Reaction,Other,,,,,,,,,,,,,,,,,R-NUL-997411,R-NUL-997411
Reaction_R-HSA-2160884,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-2160884,R-HSA-2160884
Reaction_R-HSA-2160892,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-2160892,R-HSA-2160892
Reaction_R-HSA-2160915,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-2160915,R-HSA-2160915
Reaction_R-HSA-4570493,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-4570493,R-HSA-4570493
Reaction_R-HSA-72103,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-72103,R-HSA-72103
Reaction_R-HSA-9018778,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9018778,R-HSA-9018778
Reaction_R-HSA-9770119,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9770119,R-HSA-9770119
Reaction_R-HSA-9770129,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9770129,R-HSA-9770129
Reaction_R-HSA-6803527,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-6803527,R-HSA-6803527
Reaction_R-HSA-6803836,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-6803836,R-HSA-6803836
Reaction_R-HSA-6803838,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-6803838,R-HSA-6803838
Reaction_R-HSA-5693390,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-5693390,R-HSA-5693390
Reaction_R-HSA-1791066,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-1791066,R-HSA-1791066
Reaction_R-HSA-389540,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-389540,R-HSA-389540
Reaction_R-HSA-389550,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-389550,R-HSA-389550
Reaction_R-HSA-880053,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-880053,R-HSA-880053
Reaction_R-HSA-9761844,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9761844,R-HSA-9761844
Reaction_R-HSA-450984,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-450984,R-HSA-450984
Reaction_R-HSA-5688289,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-5688289,R-HSA-5688289
Reaction_R-HSA-9854415,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9854415,R-HSA-9854415
Reaction_R-HSA-9854463,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9854463,R-HSA-9854463
Reaction_R-HSA-1678650,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-1678650,R-HSA-1678650
Reaction_R-HSA-1793182,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-1793182,R-HSA-1793182
Reaction_R-HSA-2262743,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-2262743,R-HSA-2262743
Reaction_R-HSA-9036046,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9036046,R-HSA-9036046
Reaction_R-HSA-9749487,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9749487,R-HSA-9749487
Reaction_R-HSA-9749494,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9749494,R-HSA-9749494
Reaction_R-HSA-1168637,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-1168637,R-HSA-1168637
Reaction_R-HSA-1168638,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-1168638,R-HSA-1168638
Reaction_R-HSA-1168641,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-1168641,R-HSA-1168641
Reaction_R-HSA-168140,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-168140,R-HSA-168140
Reaction_R-HSA-168184,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-168184,R-HSA-168184
Reaction_R-HSA-168910,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-168910,R-HSA-168910
