entity_id,label,degree,degree_centrality,betweenness_centrality,pagerank
Protein_ACTB,Entity_Protein_ACTB,249,0.17622080679405522,0.0024741899018541893,0.00866931890610625
Protein_TRAPPC11,Entity_Protein_TRAPPC11,140,0.09907997169143666,0.0004214704747998203,0.007650775890301959
Protein_RPS3A,Entity_Protein_RPS3A,383,0.2710544939844303,0.0003639271691252959,0.005229780671922094
Protein_ATP1A1,Entity_Protein_ATP1A1,353,0.24982307147912244,0.0007415923307535498,0.0047448442504874
Protein_RPS9,Entity_Protein_RPS9,368,0.2604387827317764,0.00018717048633273912,0.004629317099025274
Protein_RANBP9,Entity_Protein_RANBP9,14,0.009907997169143666,2.2679141377280228e-05,0.004359436562504951
Protein_LMNB2,Entity_Protein_LMNB2,74,0.05237084217975938,0.0006345169151165873,0.0042786087174040265
Protein_SAP30L,Entity_Protein_SAP30L,170,0.12031139419674453,0.0001059190686618741,0.004181814066214352
Protein_RPL10A,Entity_Protein_RPL10A,198,0.14012738853503184,0.00011345965384691491,0.004114503352482678
Protein_GRB2,Entity_Protein_GRB2,282,0.19957537154989385,0.0026418163046115824,0.0040395920550704515
Protein_MTMR6,Entity_Protein_MTMR6,165,0.11677282377919321,0.0001499399104077709,0.004022742022381639
Protein_RPS7,Entity_Protein_RPS7,39,0.027600849256900213,5.864083236426242e-05,0.003955481046496903
Protein_CTNNB1,Entity_Protein_CTNNB1,134,0.09483368719037509,0.00037004424599907304,0.0037045911274945285
Protein_CHMP2B,Entity_Protein_CHMP2B,111,0.07855626326963906,5.084777628616826e-05,0.003667303538231
Protein_RBBP4,Entity_Protein_RBBP4,71,0.0502476999292286,0.00010089400566216948,0.0036582994904691157
Protein_PABPC1,Entity_Protein_PABPC1,242,0.17126680820948337,0.000442958718421726,0.003620814138359945
Protein_MAPK1,Entity_Protein_MAPK1,224,0.15852795470629866,0.0028889625222941985,0.00348437842352315
Protein_CAPZA1,Entity_Protein_CAPZA1,208,0.14720452937013448,0.0008967659913461034,0.0034045638733480083
Protein_PLEKHF2,Entity_Protein_PLEKHF2,63,0.0445859872611465,0.00033070167766579737,0.0033620619130341877
Protein_PCBP1,Entity_Protein_PCBP1,233,0.164897381457891,0.0011318916785658286,0.003339963518604173
Protein_RPS21,Entity_Protein_RPS21,178,0.1259731068648266,0.00019673257631630875,0.003286128014351623
Protein_BEGAIN,Entity_Protein_BEGAIN,8,0.005661712668082095,3.21384810667703e-06,0.0032328457301152988
Protein_ACTG1,Entity_Protein_ACTG1,205,0.1450813871196037,0.0007831256053341155,0.003174053229422566
Protein_TRAF2,Entity_Protein_TRAF2,85,0.06015569709837226,0.0017205694845313444,0.0031484530305316226
Protein_MCM7,Entity_Protein_MCM7,212,0.15003538570417552,0.0007423781727143706,0.0031088656764100345
Protein_NPLOC4,Entity_Protein_NPLOC4,148,0.10474168435951876,0.0016569085493516572,0.0030792805738112943
Protein_SMARCC2,Entity_Protein_SMARCC2,66,0.046709129511677286,9.517235525890903e-05,0.0030535768133649224
Protein_EFTUD2,Entity_Protein_EFTUD2,404,0.2859164897381458,0.008568992989742275,0.003048275654670877
Protein_PRKAR1A,Entity_Protein_PRKAR1A,187,0.13234253361641898,0.00030879640884098555,0.002996592944429689
Protein_RABAC1,Entity_Protein_RABAC1,176,0.1245576786978061,0.00010166973300312161,0.0029618738474857273
Protein_SUCLG1,Entity_Protein_SUCLG1,179,0.12668082094833688,9.85562333489538e-05,0.0029559424941990103
Protein_ACTN4,Entity_Protein_ACTN4,206,0.14578910120311395,0.0008549357372427575,0.002882773832036107
Protein_SLIRP,Entity_Protein_SLIRP,215,0.1521585279547063,0.0022618068419946228,0.0028807569084623196
Protein_GMPPA,Entity_Protein_GMPPA,143,0.10120311394196745,3.600885500580377e-05,0.002872566576135595
Protein_CDC42,Entity_Protein_CDC42,149,0.10544939844302902,0.000595622203910114,0.0028393360190306317
Protein_PDCD6,Entity_Protein_PDCD6,192,0.13588110403397027,0.0005087434347252634,0.002819425911178963
Protein_SF1,Entity_Protein_SF1,56,0.039631988676574664,0.0003662858804432689,0.002784419643880306
Protein_SUCLG2,Entity_Protein_SUCLG2,117,0.08280254777070065,2.183990724113153e-05,0.0027801894178723285
Protein_GOLGA3,Entity_Protein_GOLGA3,170,0.12031139419674453,8.666369189956356e-05,0.0027768410483155355
Protein_RNPS1,Entity_Protein_RNPS1,227,0.16065109695682944,0.001471252665334526,0.002766426853627763
Protein_EFHC2,Entity_Protein_EFHC2,14,0.009907997169143666,0.0008210015146087431,0.0027638192002034196
Protein_CAMLG,Entity_Protein_CAMLG,183,0.12951167728237792,0.00015839900277431833,0.002762328782507358
Protein_SIAH1,Entity_Protein_SIAH1,260,0.18400566171266808,0.0007003737043964262,0.0027182166195804302
Protein_YWHAE,Entity_Protein_YWHAE,220,0.15569709837225762,0.001601555692645678,0.0026725179256959714
Protein_NR3C1,Entity_Protein_NR3C1,78,0.055201698513800426,0.004351553826645126,0.0026519816177961743
Protein_CCDC57,Entity_Protein_CCDC57,11,0.007784854918612881,9.040571486475059e-05,0.0026380191301135815
Protein_BCL7C,Entity_Protein_BCL7C,174,0.12314225053078556,8.376916014216726e-05,0.002637558257430162
Protein_SEC16A,Entity_Protein_SEC16A,207,0.1464968152866242,0.0011223737224291825,0.0025778804636686446
Protein_CLTC,Entity_Protein_CLTC,107,0.07572540693559802,0.0002705816101739231,0.0025635763310755924
Protein_DCTN1,Entity_Protein_DCTN1,89,0.0629865534324133,0.002316635659648899,0.0025600266430331293
