reaction_id,num_biomarkers,biomarkers,reactome_url
R-HSA-9665405,1,ERBIN,https://reactome.org/content/detail/R-HSA-9665405
R-HSA-9665697,1,ERBIN,https://reactome.org/content/detail/R-HSA-9665697
R-HSA-1248694,1,ERBIN,https://reactome.org/content/detail/R-HSA-1248694
R-HSA-9664588,1,ERBIN,https://reactome.org/content/detail/R-HSA-9664588
R-HSA-9665703,1,ERBIN,https://reactome.org/content/detail/R-HSA-9665703
R-HSA-9665286,1,ERBIN,https://reactome.org/content/detail/R-HSA-9665286
R-HSA-3000103,1,CUBN,https://reactome.org/content/detail/R-HSA-3000103
R-HSA-264848,1,CUBN,https://reactome.org/content/detail/R-HSA-264848
R-HSA-350186,1,CUBN,https://reactome.org/content/detail/R-HSA-350186
R-HSA-264834,1,CUBN,https://reactome.org/content/detail/R-HSA-264834
R-HSA-3296462,1,CUBN,https://reactome.org/content/detail/R-HSA-3296462
R-HSA-9013024,1,ERBIN,https://reactome.org/content/detail/R-HSA-9013024
R-HSA-3000137,1,CUBN,https://reactome.org/content/detail/R-HSA-3000137
R-HSA-350158,1,CUBN,https://reactome.org/content/detail/R-HSA-350158
R-HSA-2586553,1,LEPR,https://reactome.org/content/detail/R-HSA-2586553
R-HSA-8851859,1,RANBP9,https://reactome.org/content/detail/R-HSA-8851859
R-HSA-374673,1,RANBP9,https://reactome.org/content/detail/R-HSA-374673
R-HSA-5672965,1,RANBP9,https://reactome.org/content/detail/R-HSA-5672965
R-HSA-9861563,1,RANBP9,https://reactome.org/content/detail/R-HSA-9861563
R-HSA-8851877,1,RANBP9,https://reactome.org/content/detail/R-HSA-8851877
R-HSA-9861640,1,RANBP9,https://reactome.org/content/detail/R-HSA-9861640
R-HSA-2671876,1,LEPR,https://reactome.org/content/detail/R-HSA-2671876
R-HSA-2586559,1,LEPR,https://reactome.org/content/detail/R-HSA-2586559
R-HSA-2671855,1,LEPR,https://reactome.org/content/detail/R-HSA-2671855
R-HSA-2671747,1,LEPR,https://reactome.org/content/detail/R-HSA-2671747
R-HSA-2671868,1,LEPR,https://reactome.org/content/detail/R-HSA-2671868
R-HSA-209760,1,CUBN,https://reactome.org/content/detail/R-HSA-209760
R-HSA-2671872,1,LEPR,https://reactome.org/content/detail/R-HSA-2671872
R-HSA-3296477,1,CUBN,https://reactome.org/content/detail/R-HSA-3296477
R-HSA-2671742,1,LEPR,https://reactome.org/content/detail/R-HSA-2671742
