Source,Target,Relation,Type,Weight
Protein_BARD1,Protein_STRAP,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_SRRM2,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_MOB4,hasPhysicalInteractionWith,Undirected,1.0
Protein_DDX39B,Protein_SMAD4,hasPhysicalInteractionWith,Undirected,1.0
Protein_DDX39B,Protein_RBBP4,hasPhysicalInteractionWith,Undirected,1.0
Protein_BAX,Protein_YWHAQ,hasPhysicalInteractionWith,Undirected,1.0
Protein_BAX,Protein_BAX,hasPhysicalInteractionWith,Undirected,1.0
Protein_BAX,Protein_MCL1,hasPhysicalInteractionWith,Undirected,1.0
Protein_BAX,Protein_MCL1,hasPhysicalInteractionWith,Undirected,1.0
Protein_BAX,Protein_CASP8,hasPhysicalInteractionWith,Undirected,1.0
Protein_BAX,Protein_CASP8,hasPhysicalInteractionWith,Undirected,1.0
Protein_BCAS2,Protein_CDC5L,hasPhysicalInteractionWith,Undirected,1.0
Protein_BCAS2,Protein_CDC5L,hasPhysicalInteractionWith,Undirected,1.0
Protein_BCAS2,Protein_CTNNBL1,hasPhysicalInteractionWith,Undirected,1.0
Protein_BCAS2,Protein_CTNNBL1,hasPhysicalInteractionWith,Undirected,1.0
Protein_BCAS2,Protein_EFTUD2,hasPhysicalInteractionWith,Undirected,1.0
Protein_BCAS2,Protein_EFTUD2,hasPhysicalInteractionWith,Undirected,1.0
Protein_BCAS2,Protein_U2AF1,hasPhysicalInteractionWith,Undirected,1.0
Protein_BCAS2,Protein_SF1,hasPhysicalInteractionWith,Undirected,1.0
Protein_BCAS2,Protein_SF1,hasPhysicalInteractionWith,Undirected,1.0
Protein_BCR,Protein_GRB2,hasPhysicalInteractionWith,Undirected,1.0
Protein_BCR,Protein_GRB2,hasPhysicalInteractionWith,Undirected,1.0
Protein_BCR,Protein_UNC119,hasPhysicalInteractionWith,Undirected,1.0
Protein_BCR,Protein_CDC42,hasPhysicalInteractionWith,Undirected,1.0
Protein_BECN1,Protein_SMC1A,hasPhysicalInteractionWith,Undirected,1.0
Protein_BECN1,Protein_BECN1,hasPhysicalInteractionWith,Undirected,1.0
Protein_BECN1,Protein_TAB2,hasPhysicalInteractionWith,Undirected,1.0
Protein_BECN1,Protein_TAB2,hasPhysicalInteractionWith,Undirected,1.0
Protein_BECN1,Protein_MCL1,hasPhysicalInteractionWith,Undirected,1.0
Protein_BECN1,Protein_MCL1,hasPhysicalInteractionWith,Undirected,1.0
Protein_BID,Protein_CASP8,hasPhysicalInteractionWith,Undirected,1.0
Protein_BID,Protein_CASP8,hasPhysicalInteractionWith,Undirected,1.0
Protein_BID,Protein_BID,hasPhysicalInteractionWith,Undirected,1.0
Protein_BID,Protein_GAPDH,hasPhysicalInteractionWith,Undirected,1.0
Protein_BID,Protein_RPA2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CASP8,Protein_TRAF2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CASP8,Protein_TRAF2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CASP8,Protein_CASP8,hasPhysicalInteractionWith,Undirected,1.0
Protein_CASP8,Protein_BID,hasPhysicalInteractionWith,Undirected,1.0
Protein_CASP8,Protein_BID,hasPhysicalInteractionWith,Undirected,1.0
Protein_CASP8,Protein_RIPK1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CASP8,Protein_RIPK1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CASP8,Protein_MAPK1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CASP8,Protein_MAPK1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CASP8,Protein_TOPORS,hasPhysicalInteractionWith,Undirected,1.0
Protein_CD22,Protein_INPP5D,hasPhysicalInteractionWith,Undirected,1.0
Protein_CD22,Protein_GRB2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CD22,Protein_GRB2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CD22,Protein_SHC1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CD22,Protein_SHC1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CD9,Protein_IGSF8,hasPhysicalInteractionWith,Undirected,1.0
Protein_CD9,Protein_IGSF8,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC42,Protein_UNC119,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC42,Protein_CDC42,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC42,Protein_PAK2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC42,Protein_PAK2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC42,Protein_PAK1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC42,Protein_PAK1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC42,Protein_TRAF2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC5L,Protein_SF3B1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC5L,Protein_SF3B1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC5L,Protein_SRSF1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC5L,Protein_SRSF1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC5L,Protein_BCAS2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC5L,Protein_BCAS2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC5L,Protein_CTNNBL1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC5L,Protein_CTNNBL1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC5L,Protein_YWHAQ,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC5L,Protein_CDC5L,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC5L,Protein_EFTUD2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC5L,Protein_EFTUD2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC5L,Protein_U2AF1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC5L,Protein_SRRM2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC5L,Protein_SRRM2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC5L,Protein_UTP14A,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC5L,Protein_MCM4,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC5L,Protein_MCM4,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDC5L,Protein_TCP1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDK9,Protein_SKP2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDK9,Protein_CDK9,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDK9,Protein_SUPT5H,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDK9,Protein_SUPT5H,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDK9,Protein_HNRNPH1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDK9,Protein_YBX1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDK9,Protein_SUPT16H,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDK9,Protein_SUPT16H,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDK9,Protein_TCEA1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDK9,Protein_TCEA1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDK9,Protein_TRAF2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDKN1B,Protein_TRAF2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDKN1B,Protein_SKP2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDKN1B,Protein_SKP2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDKN1B,Protein_YWHAQ,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDKN1B,Protein_YWHAQ,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDKN1B,Protein_GRB2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDKN1B,Protein_GRB2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDKN1B,Protein_CUL4A,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDKN1B,Protein_CUL4A,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDKN1B,Protein_YWHAE,hasPhysicalInteractionWith,Undirected,1.0
Protein_CDKN1B,Protein_YWHAE,hasPhysicalInteractionWith,Undirected,1.0
Protein_CHD4,Protein_HNRNPC,hasPhysicalInteractionWith,Undirected,1.0
Protein_CHD4,Protein_RBBP4,hasPhysicalInteractionWith,Undirected,1.0
Protein_CHD4,Protein_RBBP4,hasPhysicalInteractionWith,Undirected,1.0
Protein_CHD4,Protein_MTA2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CHD4,Protein_MTA2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CHD4,Protein_UBTF,hasPhysicalInteractionWith,Undirected,1.0
Protein_CHD4,Protein_UBTF,hasPhysicalInteractionWith,Undirected,1.0
Protein_CHD4,Protein_CHD4,hasPhysicalInteractionWith,Undirected,1.0
Protein_CHMP1A,Protein_CHMP1A,hasPhysicalInteractionWith,Undirected,1.0
Protein_CHMP1A,Protein_CHMP1B,hasPhysicalInteractionWith,Undirected,1.0
Protein_CHMP1A,Protein_CHMP1B,hasPhysicalInteractionWith,Undirected,1.0
Protein_CHMP1A,Protein_STAMBP,hasPhysicalInteractionWith,Undirected,1.0
Protein_CHMP1A,Protein_STAMBP,hasPhysicalInteractionWith,Undirected,1.0
Protein_CHMP1B,Protein_CHMP1B,hasPhysicalInteractionWith,Undirected,1.0
Protein_CHMP1B,Protein_RAB11A,hasPhysicalInteractionWith,Undirected,1.0
Protein_CHMP1B,Protein_STAMBP,hasPhysicalInteractionWith,Undirected,1.0
Protein_CHMP1B,Protein_STAMBP,hasPhysicalInteractionWith,Undirected,1.0
Protein_CLTC,Protein_AP2A2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CLTC,Protein_AP2A2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CLTC,Protein_DYRK1A,hasPhysicalInteractionWith,Undirected,1.0
Protein_CLTC,Protein_STAMBP,hasPhysicalInteractionWith,Undirected,1.0
Protein_CLTC,Protein_STAMBP,hasPhysicalInteractionWith,Undirected,1.0
