feature,importance
Feature_31,0.03429879636621655
Feature_62,0.02755999140500825
Feature_33,0.024686770549469647
Feature_67,0.024555972080477384
Feature_26,0.019535326404297924
Feature_39,0.01803705362072272
Feature_12,0.017915223558068356
Feature_63,0.017633571039286824
Feature_68,0.015254706500857773
Feature_45,0.014865658217123026
Feature_32,0.014835501364172781
Feature_6,0.014490724599411682
Feature_20,0.012646744635886364
Feature_93,0.011585510964891
Feature_81,0.011548059664452786
Feature_50,0.010975233826982863
Feature_46,0.01089036391695325
Feature_38,0.009902588789892485
Feature_65,0.009850115937566316
Feature_0,0.009087306060508359
Feature_48,0.008805996910651207
Feature_82,0.008578290808242368
Feature_83,0.008570680992950372
Feature_72,0.008368341921885153
Feature_13,0.008226747911209146
Feature_25,0.008081856922218784
Feature_87,0.007938885155938866
Feature_24,0.007337020718071778
Feature_29,0.006765497806216311
Feature_78,0.006660404451796267
Feature_56,0.006635255970925874
Feature_11,0.006266354158851253
Feature_44,0.006233037987906251
Feature_80,0.006185137960784225
Feature_19,0.006122615267564508
Feature_53,0.0060821601190084685
Feature_35,0.00604156278036716
Feature_74,0.005908510359605352
Feature_8,0.005826782731165752
Feature_42,0.005642227322701609
Feature_98,0.005541112249315723
Feature_23,0.005415945943779186
Feature_51,0.004977196103592854
Feature_79,0.004933445946233257
Feature_9,0.004916053015224296
Feature_64,0.00481153716080584
Feature_15,0.004647226806939178
Feature_88,0.004537311858520127
Feature_91,0.004398154847060131
Feature_97,0.004384582688824677
