feature,importance
Feature_73,0.6311969953023431
Feature_133,0.3552860324614759
Feature_149,0.3255216210321519
Feature_87,0.29471630549653277
Feature_75,0.2672780472628147
Feature_42,0.2392202962150418
Feature_193,0.17850172885736998
Feature_105,0.17648057060423916
Feature_175,0.1665497337732222
Feature_182,0.1610040350525255
Feature_145,0.11479747797597445
Feature_146,0.11162292458685005
Feature_28,0.1024621602676711
Feature_130,0.10239130883710967
Feature_176,0.08846279702694328
Feature_31,0.07249616810952507
Feature_177,0.05996231713613197
Feature_187,0.03463828614885363
Feature_35,0.033292409334988074
Feature_59,0.03250498141033443
Feature_61,0.03166173226185248
Feature_27,0.03095716858754573
Feature_125,0.0295780715670979
Feature_161,0.026942813381710624
Feature_77,0.026316204321353495
Feature_71,0.0162300600561767
Feature_157,0.014264339935336628
Feature_142,0.01258525350838794
Feature_76,0.012190489288053705
Feature_140,0.010872508951606706
Feature_128,0.010782047641607952
Feature_12,0.009783572999343826
Feature_38,0.009773507555164165
Feature_190,0.007888457563565382
Feature_49,0.007445006819355881
Feature_41,0.006062608166595789
Feature_57,0.005980025542126967
Feature_126,0.005598922386421221
Feature_114,0.005580206788124396
Feature_6,0.004902278487725058
Feature_4,0.004395692085994589
Feature_66,0.004187285861862114
Feature_127,0.0037844182215720223
Feature_155,0.0033838685311847754
Feature_135,0.0029305845328474267
Feature_86,0.0027812145459261963
Feature_160,0.002264901347168284
Feature_94,0.0019817393955545875
Feature_122,0.0
Feature_115,0.0
