rank,feature,consensus_score,n_models,pct_models,mean_importance,min_importance,max_importance,std_importance
1,Feature_73,2.3470694844304316,12,50.0,0.32958421796829457,0.0,1.0,0.4431651108565033
2,Feature_63,2.3109544644304,11,45.833333333333336,0.3650268699788999,0.0,1.0,0.2969911840359262
3,Feature_83,2.2996366830358923,7,29.166666666666668,0.49506909888605993,0.0,1.0,0.4468123312002572
4,Feature_8,2.2432091477546026,11,45.833333333333336,0.3663864092660944,0.008025896674597698,1.0,0.3644468287264759
5,Feature_68,2.1387039655624087,16,66.66666666666667,0.23484272066986853,0.0,1.0,0.34482496180125294
6,Feature_4,1.8378795295616293,10,41.666666666666664,0.36074483234156174,0.07741727389703137,1.0,0.3454048055017677
7,Feature_31,1.801986901986902,8,33.333333333333336,0.4837704191017574,0.11938080129794092,1.0,0.3785847847014687
8,Feature_95,1.5521255790992632,13,54.166666666666664,0.3242319449713594,0.0,0.8612694258481942,0.3101123147046302
9,Feature_15,1.4964146754542644,9,37.5,0.2347286016077417,0.01204304028640477,1.0,0.32602108144045217
10,Feature_46,1.4379637217605135,10,41.666666666666664,0.423194390360668,0.09075215511515278,0.8387911346195072,0.2550301034555459
11,Feature_140,1.4148936990741192,7,29.166666666666668,0.4446228256630108,0.008580582776607268,1.0,0.3776739320609212
12,Feature_22,1.2842712842712842,6,25.0,0.6052185666481393,0.44808446292519943,0.8289045667851082,0.1800318430321926
13,Feature_20,1.2767609352703901,7,29.166666666666668,0.46248494387414196,0.1762961359383831,1.0,0.28041400582558884
14,Feature_81,1.2750738535739652,9,37.5,0.3065422875124373,0.0,1.0,0.3631605202035186
15,Feature_71,1.2455612987072768,11,45.833333333333336,0.1869910717054142,0.0,1.0,0.2973276914150335
16,Feature_82,1.20527035254308,10,41.666666666666664,0.20321510319290023,0.0,1.0,0.30236972794196093
17,Feature_99,1.1983164983164984,8,33.333333333333336,0.468315724803273,0.03478074649009305,0.9265002108400873,0.3125665717458862
18,Feature_260,1.1818181818181819,2,8.333333333333334,0.7522611903397272,0.5045223806794542,1.0,0.35035558454772464
19,Feature_105,1.1242424242424243,3,12.5,0.6185463753402004,0.09012556814894199,1.0,0.4724059535928794
20,Feature_0,0.9833520093335639,8,33.333333333333336,0.12482258243836304,0.0,0.26494533404265697,0.11499187487658336
21,Feature_61,0.9547859547859546,11,45.833333333333336,0.22577975897384997,0.0,0.6328321197705334,0.2690372612802674
22,Feature_29,0.9540150161684848,10,41.666666666666664,0.23505549021920252,0.007517700694510228,0.6881302960448643,0.2704353826987547
23,Feature_12,0.893088023088023,7,29.166666666666668,0.4019239611876483,0.014688489652980356,0.964425724356836,0.3435542849669408
24,Feature_76,0.860282800170643,12,50.0,0.17674621908771623,0.0,0.461265777959797,0.17422647557299303
25,Feature_16,0.825238197578623,3,12.5,0.3392565055275903,0.0025122675485630486,1.0,0.5722561338718668
26,Feature_26,0.80596398550944,8,33.333333333333336,0.3053413136095403,0.04904511568430277,0.5966820889702423,0.19981815197627364
27,Feature_2508,0.7878787878787878,1,4.166666666666667,1.0,1.0,1.0,
28,Feature_173,0.7784562799714314,5,20.833333333333332,0.34055979920206914,0.03903862625277262,1.0,0.3872782323409929
29,Feature_60,0.7571878727641158,9,37.5,0.329480278226507,0.0,0.771342911901908,0.308746193882529
30,Feature_3,0.7377909530083443,8,33.333333333333336,0.3990134002881776,0.005969918771778952,0.8159073326343127,0.30705856207406385
31,Feature_72,0.7318097283972361,12,50.0,0.15509347948077815,0.0,0.8263486406593368,0.24541472107378953
32,Feature_11,0.6875955003781531,12,50.0,0.207191623150608,0.006448892614981178,0.7214527453904446,0.2337656369948691
33,Feature_36,0.6809398331137462,6,25.0,0.2599640416412195,0.006516548589960516,0.6812532185536315,0.26269189795678494
34,Feature_94,0.6620739250168555,13,54.166666666666664,0.19501087847724824,0.0,0.5487636524864988,0.2133631725806901
35,Feature_66,0.6599921715363292,11,45.833333333333336,0.16734072666480962,0.0,0.8581272669781681,0.27055618321417
36,Feature_87,0.6591956726927595,9,37.5,0.2168429633325527,0.0,0.8019455512078396,0.2662601294701389
37,Feature_62,0.6264906942268796,7,29.166666666666668,0.18589867980883507,0.0,0.803526488531654,0.2966469647435053
38,Feature_58,0.6245052719327382,9,37.5,0.19561654117625885,0.0,0.7233300471226858,0.23422009766054658
39,Feature_69,0.6220836006773518,10,41.666666666666664,0.13762098533726658,0.0,0.47580094579495663,0.18537443933313433
40,Feature_33,0.6200208060673177,5,20.833333333333332,0.324970507858263,0.14409965735850086,0.7197561770355732,0.23230858776568358
41,Feature_28,0.5844942935852027,4,16.666666666666668,0.5033685917676165,0.26340475107614914,0.9542153077330384,0.314795121806337
42,Feature_56,0.5443973916160074,7,29.166666666666668,0.15055508839424778,0.0,0.38230232341025544,0.16775252611669486
43,Feature_44,0.5434875066454015,7,29.166666666666668,0.2530195720107643,0.0665930379334509,0.35970813407365915,0.10583737605114857
44,Feature_166,0.542391899288451,5,20.833333333333332,0.3507387363461417,0.2362777519404483,0.5024093976300814,0.09606717901075996
45,Feature_93,0.5302016305370278,9,37.5,0.19127353300356942,0.0,0.48343370608565384,0.19096424836947032
46,Feature_130,0.5197835377183203,5,20.833333333333332,0.2558344578926778,0.0,0.9636535057010387,0.3998278457925458
47,Feature_77,0.49143110643110643,12,50.0,0.09574322174073806,0.0,0.32802339026907346,0.10952609079314077
48,Feature_104,0.47045454545454546,4,16.666666666666668,0.2160992559249062,0.09811072646090899,0.4208542334875289,0.14599043184853056
49,Feature_67,0.4627098125373988,7,29.166666666666668,0.1254768103556729,0.0,0.7159426767717234,0.2635452244764968
50,Feature_127,0.45670995670995673,2,8.333333333333334,0.2408223840527047,0.008617630282152617,0.4730271378232568,0.32838711202981985
