feature,importance
Feature_4,40415787471942.44
Feature_99,35858924596506.266
Feature_95,28728752297057.574
Feature_56,14794069403477.01
Feature_44,14368055178309.63
Feature_33,13156989116169.36
Feature_26,10919294243723.83
Feature_76,8024149436747.95
Feature_14,7892331149518.352
Feature_78,7259371242913.237
Feature_40,6966287957457.91
Feature_54,5178802622789.649
Feature_86,5087410180373.355
Feature_77,5037951043062.4375
Feature_90,3585521993902.006
Feature_8,3038304855671.991
Feature_98,2063147070815.7305
Feature_11,1769643713955.7737
Feature_93,1742782142049.393
Feature_51,1531612381254.911
Feature_69,1193778815860.154
Feature_18,1170390568453.531
Feature_0,1123846503035.4727
Feature_34,1016574872577.3815
Feature_67,847012991309.5139
Feature_32,581438645072.987
Feature_55,578552965386.9222
Feature_17,522205262308.9529
Feature_81,518590785537.08124
Feature_42,440865866043.01514
Feature_25,380550169352.34283
Feature_10,370897629776.499
Feature_66,363465544943.3503
Feature_39,314745284864.8744
Feature_5,280514870395.3043
Feature_48,245127346431.83865
Feature_13,226985922007.3118
Feature_80,215008162741.73105
Feature_97,167345332000.31348
Feature_23,45163566405.2177
Feature_92,33694213509.158913
Feature_27,24724045820.90483
Feature_96,20100593373.59384
Feature_88,0.0
Feature_68,0.0
Feature_2,0.0
Feature_70,0.0
Feature_71,0.0
Feature_72,0.0
Feature_73,0.0
