entity_id,label,patient_connections
Protein_ACIN1,Protein_ACIN1,163
Protein_RBM42,Protein_RBM42,163
Protein_HINT1,Protein_HINT1,163
Protein_RAPGEF6,Protein_RAPGEF6,163
Protein_RASGRP2,Protein_RASGRP2,163
Protein_RBL2,Protein_RBL2,163
Protein_HHEX,Protein_HHEX,163
Protein_RBM23,Protein_RBM23,163
Protein_HECA,Protein_HECA,163
Protein_HEBP2,Protein_HEBP2,163
Protein_HBA2,Protein_HBA2,163
Protein_RAD21,Protein_RAD21,163
Protein_REEP5,Protein_REEP5,163
Protein_H2AJ,Protein_H2AJ,163
Protein_RERE,Protein_RERE,163
Protein_COP1,Protein_COP1,163
Protein_RGS18,Protein_RGS18,163
Protein_GOLPH3,Protein_GOLPH3,163
Protein_UQCRC1,Protein_UQCRC1,163
Protein_GNA13,Protein_GNA13,163
Protein_H4C3,Protein_H4C3,163
Protein_HPS6,Protein_HPS6,163
Protein_ZMIZ1,Protein_ZMIZ1,163
Protein_KBTBD2,Protein_KBTBD2,163
Protein_PTPN12,Protein_PTPN12,163
Protein_ZNF185,Protein_ZNF185,163
Protein_RAB11A,Protein_RAB11A,163
Protein_KANSL1,Protein_KANSL1,163
Protein_ZSWIM8,Protein_ZSWIM8,163
Protein_KCTD5,Protein_KCTD5,163
Protein_KCTD20,Protein_KCTD20,163
Protein_RAB24,Protein_RAB24,163
Protein_RAB37,Protein_RAB37,163
Protein_RABGAP1,Protein_RABGAP1,163
Protein_ISY1,Protein_ISY1,163
Protein_IRF1,Protein_IRF1,163
Protein_RAB3GAP1,Protein_RAB3GAP1,163
Protein_INPP5D,Protein_INPP5D,163
Protein_ZNF746,Protein_ZNF746,163
Protein_RABAC1,Protein_RABAC1,163
Protein_IDS,Protein_IDS,163
Protein_ID2,Protein_ID2,163
Protein_RNF181,Protein_RNF181,163
Protein_RNF24,Protein_RNF24,163
Protein_GDI1,Protein_GDI1,163
Protein_EEF1D,Protein_EEF1D,163
Protein_EVI2B,Protein_EVI2B,163
Protein_ETS1,Protein_ETS1,163
Protein_ELOVL5,Protein_ELOVL5,163
Protein_ELF1,Protein_ELF1,163
Protein_EIF3M,Protein_EIF3M,163
Protein_EIF2AK2,Protein_EIF2AK2,163
Protein_EIF1B,Protein_EIF1B,163
Protein_EGLN2,Protein_EGLN2,163
Protein_EDF1,Protein_EDF1,163
Protein_RNF38,Protein_RNF38,163
Protein_E4F1,Protein_E4F1,163
Protein_DUSP3,Protein_DUSP3,163
Protein_SAP30L,Protein_SAP30L,163
Protein_DSTN,Protein_DSTN,163
Protein_DRG1,Protein_DRG1,163
Protein_DRAP1,Protein_DRAP1,163
Protein_DNM2,Protein_DNM2,163
Protein_SCAND1,Protein_SCAND1,163
Protein_EXOC7,Protein_EXOC7,163
Protein_RAMAC,Protein_RAMAC,163
Protein_RTN3,Protein_RTN3,163
Protein_TENT5A,Protein_TENT5A,163
Protein_GCA,Protein_GCA,163
Protein_GAPDH,Protein_GAPDH,163
Protein_GABARAPL2,Protein_GABARAPL2,163
Protein_UNC45A,Protein_UNC45A,163
Protein_FTH1,Protein_FTH1,163
Protein_FRG1,Protein_FRG1,163
Protein_RNPS1,Protein_RNPS1,163
Protein_PTBP3,Protein_PTBP3,163
Protein_RPA2,Protein_RPA2,163
Protein_FCGR3B,Protein_FCGR3B,163
Protein_RPLP1,Protein_RPLP1,163
Protein_RPS3A,Protein_RPS3A,163
Protein_RPS9,Protein_RPS9,163
Protein_RRBP1,Protein_RRBP1,163
Protein_FAU,Protein_FAU,163
Protein_RSU1,Protein_RSU1,163
Protein_CYRIB,Protein_CYRIB,163
Protein_KLHL24,Protein_KLHL24,163
Protein_KPNA6,Protein_KPNA6,163
Protein_DHRS7,Protein_DHRS7,163
Protein_PNRC2,Protein_PNRC2,163
Protein_NOSIP,Protein_NOSIP,163
Protein_NME1,Protein_NME1,163
Protein_NFIL3,Protein_NFIL3,163
Protein_VAMP5,Protein_VAMP5,163
Protein_NDUFV2,Protein_NDUFV2,163
Protein_NDUFB7,Protein_NDUFB7,163
Protein_NDUFA13,Protein_NDUFA13,163
Protein_NDUFA11,Protein_NDUFA11,163
Protein_YBX1,Protein_YBX1,163
Protein_PLEK,Protein_PLEK,163
Protein_NAMPT,Protein_NAMPT,163
