feature,importance
Feature_93,0.041357190973639886
Feature_26,0.033965213264254626
Feature_20,0.0318195158209518
Feature_63,0.028414623161368762
Feature_31,0.022605665536489947
Feature_8,0.019128911443268823
Feature_12,0.01793448802751712
Feature_67,0.017171965383650064
Feature_50,0.01662137439595291
Feature_33,0.015081969691106803
Feature_94,0.014450590582882283
Feature_54,0.011960758916637605
Feature_56,0.011707301809323828
Feature_48,0.011587089198511487
Feature_39,0.011409470646605326
Feature_65,0.010931402256932397
Feature_83,0.010299205811904395
Feature_13,0.009773009363823436
Feature_98,0.009314517940052319
Feature_25,0.008643149908973377
Feature_92,0.00862073980171091
Feature_9,0.0077918131498653015
Feature_62,0.00763072698746605
Feature_15,0.007263440276983688
Feature_41,0.006924088802079117
Feature_35,0.006896189456880116
Feature_6,0.0067587912651916136
Feature_32,0.006696312745176394
Feature_79,0.0062250360755347536
Feature_81,0.006097461703363304
Feature_97,0.006022014919947847
Feature_23,0.005668239909190826
Feature_7,0.005666222341857217
Feature_74,0.00534970571335179
Feature_21,0.005289104181799712
Feature_22,0.004635771930244029
Feature_68,0.004565372815745206
Feature_53,0.004513789751656644
Feature_43,0.004461555451915559
Feature_96,0.004425345752023772
Feature_69,0.004394612582294849
Feature_47,0.004381323187951055
Feature_27,0.004309792381729063
Feature_91,0.004296525294125172
Feature_84,0.004294248013374112
Feature_82,0.00426316698545115
Feature_1,0.0042499090689170115
Feature_55,0.004068266905767036
Feature_61,0.004041363748824908
Feature_24,0.003932922036052276
