0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.9628828,-0.28008783,1.2032238,0.21925178,-0.7643051,0.9708072,-1.0026232,-0.73600215,-0.948232,-1.7462202,0.4046243,0.8135544,-1.3316028,0.73982376,0.50923747,-2.194122,0.017692797,-0.70126027,-0.40507457,0.6109534,-2.338186,-1.1758616,1.5414387,-0.7347785,-0.8902327,0.6730622,-0.802955,0.19248885,0.11635946,-0.008857304,0.9452339,0.9933993,-0.9416274,-0.16156921,-0.32538497,1.0024654,0.83466035,-0.402225,-2.2583623,1.1888342,-0.37750053,0.5045584,-1.6177785,-0.10707753,0.03501918,0.5684584,-0.67174596,0.027960733,0.9367268,1.107533,-0.22817628,0.2465648,0.5935616,-0.3715845,-0.5205812,0.5302678,-0.10399858,0.41329983,0.8375741,-1.3206283,-0.03040712,0.59025115,1.1670454,-0.39113393,0.418625,0.3274303,-0.15862161,-0.63522625,-0.05114115,0.46694413,1.2509007,1.7211381,0.2828974,-0.22031605,0.24528246,0.9803011,0.14006926,1.534203,0.8796074,-1.2031255,0.52219653,-0.23045877,-0.32541263,0.16351548,1.5872961,-0.66390693,1.5291386,-1.7989426,0.5772439,-0.3677526,-0.48261026,-0.1360198,-1.4082428,0.57857645,-1.337878,0.22277983,1.6854793,-0.29145372,-1.632675,0.4707356
0.023696475,-1.0901048,0.29890412,-0.57165295,-0.7277064,0.36210024,-0.33646548,1.5993345,-0.19733858,-0.9666512,-1.2772162,0.4144366,-1.607383,-0.9581446,1.7002534,-1.168201,0.02300244,0.8773499,-1.3259845,0.9232172,0.19347525,-0.7629348,0.69125426,-0.30301616,-0.14807373,1.362989,-1.2318139,0.93730354,0.5860675,-1.1411909,0.75798523,-0.14380278,-1.0252765,-0.09792411,-0.15177785,-0.8902873,0.7349757,0.1318509,-0.81854945,0.9266692,1.2288188,0.6475229,-1.3878307,2.4649947,2.8616524,-0.20008622,-1.452659,0.362193,0.086063564,1.2302186,1.0490777,0.08671604,1.2738891,-0.836426,-0.3179769,0.5803902,0.015483346,-0.92090476,0.79217577,-1.4723569,-0.65517145,0.11425771,0.2609366,-1.2781123,-0.15456584,0.47904027,0.051117375,0.91896087,-0.511416,0.6417239,-0.49714473,0.31351462,-0.23642078,0.24560642,0.31826302,1.1396482,-1.3801053,-0.22980875,0.5212708,-0.77196264,-0.7970859,-0.3791966,-0.3234781,0.6133433,1.0141181,1.1585866,1.4315289,-0.7005054,-0.34673947,-0.36328763,-0.29131532,-1.3760082,0.41643763,1.4649872,-1.8611786,0.15236956,0.52721286,0.56693655,-1.4533461,-0.15071927
-0.8932139,0.08388831,0.87901986,-0.26520073,0.6235611,0.5033814,0.79546195,-0.77602696,-1.9199222,1.5330329,-0.32249406,-0.1420879,0.3542062,-0.1990806,-0.89294666,-0.18402791,-0.36257145,-0.30077958,-0.6379129,2.2748582,-0.6565345,-0.87831634,0.033526886,-0.3918493,0.57883704,-0.2932874,0.24567169,-1.7233603,0.5498611,0.38129258,-0.29243696,1.1385487,0.039195225,-0.9185563,1.1937035,0.57442206,-0.5745751,0.5241243,0.688057,1.2417829,1.5535657,0.33517092,0.96565163,-0.15874751,-0.24412099,0.055571463,-0.81393117,1.6509837,-0.8555926,0.7646309,-0.23257983,-1.6049724,-1.6775289,-2.1741724,0.3805361,0.8782768,1.9764614,0.9654228,-1.9886378,1.2668566,-0.6975837,0.8652874,0.6489425,-1.3669251,-0.47468424,-0.017524512,-0.4685765,-0.8617852,-0.064699635,0.8185549,1.380024,2.1646793,0.024149356,0.9374929,-0.6076616,0.23688063,-1.5591586,-0.21287575,-0.12623797,-0.4613316,0.33733243,2.053236,0.61481327,0.05167523,0.0298561,-0.7446197,-0.8031149,-0.0723048,0.5371707,0.564129,-1.1013566,-1.666105,0.37527353,-0.39630678,-0.6213679,-0.09140313,-0.54716635,-0.8004611,-0.12723313,-0.5038971
0.29073274,-1.7963059,-0.85214025,-0.029689476,0.5693245,1.24718,0.106023446,0.17446484,-0.5601542,-1.2552841,1.0457735,1.5398731,-0.24781565,-1.8416976,-0.7190877,-1.3617659,-0.37992603,0.08251987,-0.5591201,1.0074244,-0.5136462,0.009917706,-0.12339777,-1.680042,0.024520285,1.0640708,-1.2943941,0.9250257,-0.13822891,0.14549369,0.1118094,-0.5853576,-0.40657064,-0.037862603,-0.16751005,0.11291167,-0.55979633,0.84751135,0.44916645,1.4637611,0.37649825,-0.85588336,-1.0377088,1.579823,0.25146395,-0.1262912,-0.82833767,0.8055685,-0.6119051,1.6522434,-0.21963191,-0.7753253,1.915249,-1.8459054,-0.8884955,0.42144257,-0.12822822,0.9301652,1.8816261,-1.7620039,0.18337643,1.0778705,0.8150649,-0.79346883,-0.38027117,-0.79350287,0.15571219,-0.3066491,0.08882772,1.23384,-1.2057943,1.60404,0.7191509,-0.6578747,0.33428368,-0.33325168,0.106609456,-0.38620016,0.30494344,0.96443814,-0.9976702,1.0090387,-1.4944316,0.9021317,0.8561446,-0.639772,0.34277073,0.41848016,-0.46738008,1.0842472,-1.3474251,-0.9853507,0.74759066,0.26881394,-1.214323,0.23523484,0.71990037,-2.0225096,0.3778713,1.7226827
1.1185607,1.0625134,0.12118433,-0.1525549,0.67061454,-0.7168429,-1.9826802,0.5091279,-0.24471861,-2.1451352,-0.3532671,0.35015142,-0.59897226,0.12301378,0.27479148,-0.8472708,1.6463773,0.9539185,0.68254673,-0.104997,-2.0440142,0.2656407,0.43422562,-2.1048036,-0.46355623,0.002297908,-0.5038978,1.2214088,0.5416118,-0.3909698,1.2632214,-0.2897449,-0.8290805,-0.022609536,-1.7661208,-0.813165,-0.53590685,-0.38327327,-0.86418444,-0.6031838,1.1037843,0.14065567,-2.0088964,1.5595039,-0.8228879,-0.119706854,-0.49591073,-1.0361253,1.3234731,0.860612,0.28643584,0.0041803718,1.1519324,-0.38397008,-0.25369835,-0.032777973,0.029520186,1.0245411,1.0431751,-2.2872303,0.81375027,0.4776605,-0.1002535,-0.55016005,1.0056427,-0.049989603,0.14007823,0.54515076,-1.0231353,1.6082661,0.15660161,0.028557211,0.5098327,-6.0703605e-05,0.27752352,0.6406828,-0.08043685,1.9788427,0.26032296,-1.8540088,-0.7078587,0.004832305,-0.21041891,0.6896298,1.4394354,0.2991321,0.8047755,-0.089099646,-0.45722136,0.18786283,-0.3637722,-0.9670052,1.6396,0.6621909,-0.07161857,-0.2739787,-1.361829,-0.22616087,-0.6095311,1.6916758
-0.17234461,0.6636638,-1.014205,1.1940286,-0.42655003,0.4110997,-0.6214244,-1.5933995,-1.1476221,-1.7144371,1.2220074,0.5917851,-0.787407,1.2633828,0.12728739,0.17251337,-0.26171735,-1.0792015,-0.060767997,1.0127071,-1.0545422,-2.2288296,1.2171097,-0.8113732,-0.4358031,0.029472195,0.30111572,1.1424397,0.25438133,-1.8842915,0.5674403,0.07781592,-1.7710512,1.0629398,-1.3696679,0.64936686,-0.049098816,0.61384773,-0.39276326,-0.3536535,-0.47007254,0.7056809,-1.0699265,0.23413818,-0.73189867,1.0871716,-0.2951566,-0.244548,0.15562525,1.2594392,0.17281446,1.7098167,0.4874082,-0.28693584,0.14116459,-0.28942868,1.7522448,-0.9609335,0.07427071,-0.43842083,0.39808506,-1.1188017,0.90654063,-1.4945425,1.6382571,1.0126461,0.5527536,0.603406,0.35259855,0.6597687,0.43795574,-0.5635091,0.7054111,-0.1031512,1.4254193,1.6671863,1.3581116,0.9012896,-0.50317806,-1.6114599,-0.05651597,-0.252173,0.08948095,-0.08746042,0.05910208,-0.070124276,1.1777138,-1.3453797,-1.2281709,-0.37350756,0.75379807,-0.26940063,-0.6809801,2.1170115,-0.80737615,0.2659306,0.501999,-0.5495692,-1.4358035,-0.8814602
-1.6011363,-0.4475151,-0.061251972,0.81966364,0.44759947,0.2948367,0.22809279,-1.8895571,1.1918931,1.0285989,2.2316294,0.24690661,-0.38474682,1.5727901,-0.584003,-0.070932806,-0.17200117,-0.94099575,-0.15299472,2.5942278,1.0009278,0.20389563,-0.08636373,1.5222744,0.039083302,0.006371379,0.5595943,-1.0952106,-0.035816446,-1.4461333,-1.9357684,0.087218985,1.3078938,0.82809913,0.036266312,-0.22416845,-0.8718308,0.32222775,1.8110893,0.5488899,1.1831746,-0.16174388,-0.42040652,0.43712348,0.07646347,0.48518282,-0.29180688,1.440979,-0.45057705,-0.07051715,-1.1502621,-1.4041862,0.31656906,-1.2124566,0.5866169,-0.6261758,0.8802704,-1.0694168,-0.004638836,2.5175962,-0.03407374,-1.2543557,0.7842823,-1.8858383,-0.1043086,0.26239973,-0.9815599,0.22434881,-0.6096804,-0.9995977,-0.051131397,-0.27295133,-0.5534347,0.34647363,-1.2251141,0.5577205,0.05719611,-1.0071863,-0.8813349,0.80312854,1.2590684,0.85062695,0.014745999,0.102531545,-1.3595108,0.713709,-0.9500032,0.6218833,-0.68620366,-0.8060043,-0.08743031,2.2685344,-0.09081873,0.36004418,-1.0543253,-0.061624996,-0.7245886,-0.7213657,-0.58237165,-0.27461627
-1.1355811,0.09552805,1.1215949,0.6318073,-2.5244741,1.3377155,-0.38388568,1.8633461,1.1093422,-1.9608462,1.6180438,-0.7557776,-0.23302186,1.3786778,0.6365991,-0.08310884,1.5256543,0.517624,-1.9633489,0.28526592,-0.4780314,1.4770243,-0.64719284,0.057809815,1.0506837,1.759812,0.6017564,0.10046594,0.95056975,-0.71161014,-0.11436288,-0.043333817,-0.4160686,1.5134032,0.22651024,0.5180255,-0.4392004,-0.29078367,1.8235874,1.0593079,0.37102863,-1.3124858,-1.4019725,0.47933075,-0.63364327,-1.9280245,-0.68475294,0.42052746,0.2867902,0.25730425,0.4918564,-0.3616669,0.60115767,1.3156682,0.57068264,-0.9281485,-0.62579983,0.10364877,-0.38986638,-0.6149125,0.1370628,-0.04578863,-1.0845579,-0.7983304,0.40296555,0.875001,0.73697525,-1.3984598,-0.21411669,-0.056310296,-1.5114554,0.34286398,-1.4325494,-0.142466,-0.038460948,1.2179589,0.42939883,-0.8911548,-0.11734751,0.060494963,-0.20429611,-1.0291123,-1.0078882,1.1040022,0.22000149,0.16608173,0.450276,0.31041786,-0.16027018,-0.24991688,-0.36388266,0.56989634,-1.5153651,0.25659576,-1.1947247,-0.0665681,-1.2793232,0.7487191,-1.1817304,1.1728238
-0.6028608,-0.77826655,0.069950044,1.3510805,0.1490696,-0.12670839,0.20067732,-1.1292152,0.84744984,0.5783715,1.4551713,0.58293784,-0.31568828,0.55383855,-0.7509799,-0.10824162,1.0655358,-1.0220239,0.21949951,0.40230176,-0.98005664,0.8315682,0.32505956,0.57242775,-0.5058107,1.0946091,1.0351522,-0.84866494,0.60278547,-0.26981488,0.9371585,0.5408562,0.9057959,0.38976362,-1.1751348,0.4463429,-1.44468,-0.80261916,0.20750418,-0.086332746,0.5474173,-1.0766333,-1.5470401,0.6243935,-0.32010478,-0.8889321,-0.862749,-0.36975038,-0.47361308,-0.22214633,-1.2325337,-0.81972116,-0.7146439,0.21896607,0.11109746,-1.2441006,0.12021223,-1.2142773,-0.8151659,1.3539934,0.94912565,0.5131609,0.84456164,0.47316983,1.4065313,-0.47413126,-1.8772377,1.6456175,-0.83202106,0.3506071,0.5398624,-0.58221084,1.02822,1.0859205,-1.5029545,-1.2646135,0.6920204,-1.1703329,0.21047652,1.3618579,0.97624004,0.32636836,1.6993549,-0.5659407,-0.72858113,-0.68360776,-0.8534644,0.15571319,-0.24159293,-0.26643318,-0.53654623,1.9951247,-0.22776842,2.1381626,0.08203998,-0.33683825,-2.3086972,-0.7564801,-0.8132328,2.014267
-0.72772145,-0.35285607,1.3848941,1.4964025,-0.61437666,0.70319647,-0.9361715,0.055704694,0.34851688,1.2188113,1.2591821,-0.5778426,0.98844945,0.74547875,-0.89078575,-0.25902832,0.9940468,-0.22499026,-1.0780258,0.81551576,-0.7976716,1.0732626,-0.85157984,0.13136925,-0.2933996,0.59576917,0.14946535,-2.0308917,0.67691386,-0.48099974,-0.019155724,0.17676887,0.88925385,0.5217243,0.038461745,0.55746233,-0.5278231,-0.9821755,1.4160384,1.1287035,1.0890062,0.23773672,0.050138094,-0.87815416,-0.0937323,-1.5745984,-0.78729707,0.8380208,-0.3673331,-1.2835766,-1.0487212,-1.8260115,-1.1117369,0.53796625,0.7535238,0.18490636,-0.38144946,-1.1278274,-0.85493094,1.4559337,-0.76705045,0.91579473,0.7967643,-1.041176,0.28660396,0.4198881,-0.55053216,0.65455663,-0.7552826,-0.22772242,0.5639747,1.1640357,-0.5284016,-0.1346885,-1.1053023,-0.7392545,-1.1178387,-1.9374007,0.59523857,0.93174124,0.24041757,0.8845882,2.3502135,0.11001048,-0.16051385,-0.7593425,-1.1206719,1.7796663,0.43566602,-0.14316303,-1.1252946,0.22360145,-1.3188078,0.78513247,0.13130191,-1.175833,-1.021337,0.78019845,-0.49217802,1.9964293
