Sample_GSM1318031,S_33,S_D5
Sample_GSM1318032,S_35,S_D5
Sample_GSM1318033,S_42,S_D5
Sample_GSM1318034,S_43,S_D5
Sample_GSM1318035,S_45,S_D5
Sample_GSM1318036,S_46,S_D5
Sample_GSM1318037,S_49,S_D5
Sample_GSM1318038,S_50,S_D5
Sample_GSM1318039,S_51,S_D5
Sample_GSM1318040,S_54,S_D5
Sample_GSM1318041,HC_1,HC_D5
Sample_GSM1318042,HC_2,HC_D5
Sample_GSM1318043,HC_3,HC_D5
Sample_GSM1318044,HC_4,HC_D5
Sample_GSM1318045,HC_5,HC_D5
Sample_GSM1318046,HC_6,HC_D5
Sample_GSM1318047,HC_7,HC_D5
Sample_GSM1318048,HC_8,HC_D5
Sample_GSM1318049,HC_9,HC_D5
Sample_GSM1318050,HC_10,HC_D5
Sample_GSM1318051,HC_11,HC_D5
Sample_GSM1318052,HC_12,HC_D5
Sample_GSM1318053,HC_13,HC_D5
Sample_GSM1318054,HC_14,HC_D5
Sample_GSM1318055,HC_15,HC_D5
Sample_GSM1318056,HC_16,HC_D5
Sample_GSM1318057,HC_17,HC_D5
Sample_GSM1318058,HC_18,HC_D5
