================================================================================
CONSENSUS PROTEIN BIOMARKER SUBGRAPH ANALYSIS
================================================================================

Total biomarker proteins: 28
Biomarker proteins:
  - ADAMTSL4
  - AEBP2
  - BRI3BP
  - CCDC91
  - CDCA5
  - CTR9
  - CUBN
  - ERBIN
  - GNMT
  - LEPR
  - LMNB2
  - MAP7
  - MBD2
  - NAA16
  - NUS1
  - PDE7A
  - PDIA4
  - PLAA
  - PRR13
  - RANBP9
  - RANGRF
  - RASSF5
  - RIOX2
  - SPATC1L
  - TGFB3
  - TMEM128
  - TRAK1
  - ZBTB2

--------------------------------------------------------------------------------
PROTEIN-PROTEIN INTERACTIONS
--------------------------------------------------------------------------------
Proteins with PPI: 168
Total protein-protein connections: 1470

    Protein_PDIA4        PDIA4                     19                                                                                                                                                                                                                                                                                                                                                                                                                                                   Protein_ACTR3;Protein_ANP32A;Protein_ATP6AP2;Protein_BRI3BP;Protein_CALR;Protein_DDX39B;Protein_GRIPAP1;Protein_ILF3;Protein_ISOC1;Protein_MGST3;Protein_NAE1;Protein_P4HB;Protein_PPP1R2;Protein_PRCP;Protein_PTMA;Protein_RNF4;Protein_STK26;Protein_TCTN3;Protein_YWHAE
    Protein_WDR77        WDR77                     18                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Protein_CHD4;Protein_GRB2;Protein_HNRNPH1;Protein_ILF3;Protein_KRAS;Protein_MBD2;Protein_MTA2;Protein_MYC;Protein_PHF1;Protein_POLR2C;Protein_PPP1CB;Protein_RBBP4;Protein_RNF31;Protein_SEC16A;Protein_SF1;Protein_SUPT5H;Protein_SVIL;Protein_WDR77
    Protein_YWHAE        YWHAE                     16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  Protein_CALR;Protein_CDC5L;Protein_EFTUD2;Protein_GRB2;Protein_ISOC1;Protein_KRAS;Protein_MYC;Protein_PAK2;Protein_PDIA4;Protein_PPP1R2;Protein_PRC1;Protein_PTMA;Protein_RNF31;Protein_STK26;Protein_TNFAIP8;Protein_TOP2A
    Protein_AURKB        AURKB                     16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Protein_AURKB;Protein_BCLAF1;Protein_CD79A;Protein_CDC5L;Protein_DCTN1;Protein_DDX1;Protein_KIF20A;Protein_KRAS;Protein_MAPK6;Protein_MYC;Protein_P4HB;Protein_PRC1;Protein_SEC16A;Protein_TOP2A;Protein_USP14;Protein_ZBTB2
    Protein_SUMO2        SUMO2                     16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Protein_ACTB;Protein_ANP32A;Protein_BAZ1B;Protein_CALR;Protein_CHD4;Protein_DDX39B;Protein_EIF2AK2;Protein_HNRNPH1;Protein_MAPK6;Protein_MTA2;Protein_RBBP4;Protein_RNF4;Protein_SUMO2;Protein_SUPT16H;Protein_TOP2A;Protein_ZBTB2
    Protein_CDC42        CDC42                     15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Protein_ACTR3;Protein_B2M;Protein_CDC42;Protein_CUL4A;Protein_FNTA;Protein_GRB2;Protein_KRAS;Protein_LMNB2;Protein_MAPK6;Protein_PAK2;Protein_RABL6;Protein_RAP1B;Protein_RNF4;Protein_SF1;Protein_TRAF2
    Protein_SRPK2        SRPK2                     15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Protein_ACTB;Protein_BCLAF1;Protein_CCDC88B;Protein_CLK1;Protein_DDX39B;Protein_EFTUD2;Protein_KRAS;Protein_MAP7;Protein_NXF1;Protein_RNF4;Protein_RNPS1;Protein_SRPK2;Protein_SUPT16H;Protein_VAC14;Protein_ZC3H18
  Protein_HNRNPH1      HNRNPH1                     15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Protein_ACTR3;Protein_ANP32A;Protein_CDC5L;Protein_CDK9;Protein_CHD4;Protein_CUL4A;Protein_EFTUD2;Protein_LMNB2;Protein_MYC;Protein_RBM4;Protein_RNF31;Protein_SF1;Protein_SUMO2;Protein_USP14;Protein_WDR77
     Protein_ILF3         ILF3                     15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Protein_CDC5L;Protein_CDK9;Protein_CHD4;Protein_EFTUD2;Protein_EIF2AK2;Protein_MYC;Protein_NXF1;Protein_PDIA4;Protein_PPP1CB;Protein_RNPS1;Protein_RTN4;Protein_SF1;Protein_TRIP6;Protein_USP14;Protein_WDR77
     Protein_CALR         CALR                     15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Protein_B2M;Protein_CALR;Protein_DDX39B;Protein_KRAS;Protein_MAPK6;Protein_NR3C1;Protein_P4HB;Protein_PDIA4;Protein_PRNP;Protein_PTMA;Protein_RNF4;Protein_SUMO2;Protein_TCTN3;Protein_TMEM106B;Protein_YWHAE
