protein,label,score,kind,immune,size,degree
Protein_FRG1,FRG1,20.966354370117188,hub,False,150.0,4
Protein_TRAK1,TRAK1,30.216997146606445,consensus,False,658.2386450929736,1
Protein_MYC,MYC,20.966354370117188,hub,False,150.0,28
Protein_COG3,COG3,20.966354370117188,hub,False,150.0,3
Protein_RTN4,RTN4,20.966354370117188,hub,False,150.0,8
Protein_PDE7A,PDE7A,24.639657974243164,consensus,False,442.2516616360615,1
Protein_EFTUD2,EFTUD2,20.966354370117188,hub,False,150.0,26
Protein_TSEN15,TSEN15,20.966354370117188,hub,False,150.0,3
Protein_NAE1,NAE1,20.966354370117188,hub,False,150.0,4
Protein_RNF4,RNF4,20.966354370117188,hub,False,150.0,21
Protein_SPATC1L,SPATC1L,28.972670555114743,consensus,False,610.0510885134383,5
Protein_TRIP6,TRIP6,20.966354370117188,hub,False,150.0,7
Protein_EFHC2,EFHC2,20.966354370117188,hub,False,150.0,3
Protein_NAA16,NAA16,28.473289489746094,consensus,False,590.7121516886997,2
Protein_PPP1R2,PPP1R2,20.966354370117188,hub,False,150.0,5
Protein_DDX39B,DDX39B,20.966354370117188,hub,False,150.0,18
Protein_DCK,DCK,20.966354370117188,hub,False,150.0,5
Protein_MBD2,MBD2,24.30706787109375,consensus,False,429.37184011421084,8
Protein_PHF1,PHF1,20.966354370117188,hub,False,150.0,8
Protein_LEPR,LEPR,31.10723114013672,consensus,True,692.713678597513,0
Protein_GNMT,GNMT,26.885377883911133,consensus,False,529.2189867329115,6
Protein_KIF20A,KIF20A,20.966354370117188,hub,False,150.0,10
Protein_RANBP9,RANBP9,28.16043472290039,consensus,False,578.596597073346,11
Protein_B2M,B2M,20.966354370117188,hub,False,150.0,5
Protein_DCTN1,DCTN1,20.966354370117188,hub,False,150.0,13
Protein_LCOR,LCOR,20.966354370117188,hub,False,150.0,3
Protein_CD47,CD47,20.966354370117188,hub,False,150.0,5
Protein_THAP1,THAP1,20.966354370117188,hub,False,150.0,7
Protein_TERF1,TERF1,20.966354370117188,hub,False,150.0,7
Protein_ZC3H18,ZC3H18,20.966354370117188,hub,False,150.0,10
