protein,protein_name,num_biomarkers,biomarkers,biomarker_names
Protein_EIF2AK2,EIF2AK2,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_LRFN4,LRFN4,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_CTBP2,CTBP2,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_SP110,SP110,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_MYC,MYC,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_RAD51D,RAD51D,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_ANP32A,ANP32A,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_CSE1L,CSE1L,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_STARD7,STARD7,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_EFTUD2,EFTUD2,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
