rank,feature,consensus_score,n_models,pct_models,mean_importance,min_importance,max_importance,std_importance
1,Feature_63,1.4247321701867157,6,54.54545454545455,0.5399975262753921,0.08233260478601702,1.0,0.3885901064514973
2,Feature_207,1.3333333333333333,2,18.181818181818183,1.0,1.0,1.0,0.0
3,Feature_93,1.317979797979798,5,45.45454545454545,0.46209713540216857,0.01037229433612115,1.0,0.4497767755250117
4,Feature_4,1.2101010101010101,3,27.272727272727273,0.7601278473122424,0.11179122123675035,1.0,0.46921465711106675
5,Feature_73,1.1480789952099355,7,63.63636363636363,0.30613678418661067,0.0,1.0,0.33998203522546716
6,Feature_107,1.0191919191919192,4,36.36363636363637,0.6161030273115369,0.44346140386839267,1.0,0.26135196364126023
7,Feature_177,1.0016939582156974,4,36.36363636363637,0.32278839470006127,0.018112566183373174,1.0,0.4602312659135542
8,Feature_86,0.9048056320783595,5,45.45454545454545,0.3375153730775132,0.055969974222775526,1.0,0.3452124900769457
9,Feature_26,0.8170616074359389,7,63.63636363636363,0.3186452375200583,0.02940766589592906,0.821264995630465,0.3214214770572325
10,Feature_78,0.6372153372153373,8,72.72727272727273,0.1976884396609836,0.0,0.5878358472578253,0.2323895227819585
11,Feature_128,0.5983405483405484,4,36.36363636363637,0.43992662730319576,0.11032022154465183,0.6747061406963633,0.2552690510660584
12,Feature_161,0.5966562173458726,2,18.181818181818183,0.5235102769658025,0.04702055393160517,1.0,0.6738582286463617
13,Feature_145,0.5725108225108225,3,27.272727272727273,0.5058342764371769,0.3731727813852025,0.7138546593265572,0.18241506783015501
14,Feature_20,0.5705627705627706,5,45.45454545454545,0.39201387863030634,0.016810830007749272,0.7693829071039395,0.31988861720366285
15,Feature_95,0.5685224336387127,4,36.36363636363637,0.3789224393163565,0.0,1.0,0.39074236389755634
16,Feature_59,0.49963493296826633,4,36.36363636363637,0.19885299359947273,0.0,0.765120828733226,0.37765109189548274
17,Feature_44,0.4499937570336052,7,63.63636363636363,0.16139956859592403,0.009481095109486647,0.3713965596121786,0.14513802471387371
18,Feature_12,0.4103217044393515,5,45.45454545454545,0.259206633657299,0.016578467722851382,0.5983158048966082,0.252886382768371
19,Feature_8,0.40763024853933943,8,72.72727272727273,0.1713679489167428,0.008803195689771,0.46252927224823276,0.15779604576623515
20,Feature_159,0.3939393939393939,1,9.090909090909092,0.744154329487191,0.744154329487191,0.744154329487191,
21,Feature_33,0.3896525743164399,7,63.63636363636363,0.16276126083805573,0.01306947115561464,0.3646758722254547,0.12753222312595058
22,Feature_108,0.3452708907254362,2,18.181818181818183,0.41017746298892777,0.2140643648826101,0.6062905610952454,0.27734580310095974
23,Feature_228,0.3333333333333333,2,18.181818181818183,0.5522826478440276,0.5498462962685434,0.5547189994195117,0.0034455214407587615
24,Feature_149,0.33116883116883117,2,18.181818181818183,0.49556734502531974,0.21701616695171758,0.7741185230989219,0.3939308538466913
25,Feature_54,0.330988455988456,4,36.36363636363637,0.28944245181683426,0.2840352702553811,0.29348024238808235,0.004007285574692693
26,Feature_92,0.31465302374393284,4,36.36363636363637,0.22870236147030226,0.0,0.5047786411830836,0.19707239243156047
27,Feature_31,0.29393939393939394,2,18.181818181818183,0.5369745012765823,0.0758377088014383,0.5465957673696522,0.266411240790102
28,Feature_77,0.29239922444256805,7,63.63636363636363,0.12828570079258975,0.0,0.3175577349375216,0.11691221760798896
29,Feature_38,0.2900978841329231,5,45.45454545454545,0.2352298536401857,0.03582288984423715,0.44544977699165805,0.1546747331951032
30,Feature_6,0.27869007535674206,5,45.45454545454545,0.2250503067004344,0.024095369132377677,0.45240710772994536,0.15550252342999613
31,Feature_56,0.2691623146168601,5,45.45454545454545,0.20546570865252445,0.002507727188865626,0.30367587943994234,0.11783347385497815
32,Feature_282,0.2626262626262626,1,9.090909090909092,0.6542212627860986,0.6542212627860986,0.6542212627860986,
33,Feature_57,0.2568078298513081,7,63.63636363636363,0.12440040400863066,0.0027279479166975994,0.33112099569186204,0.13859936395122077
34,Feature_25,0.25436795491143316,6,54.54545454545455,0.11757553229122031,0.011591849357012267,0.28377588499838396,0.1024922651591962
35,Feature_245,0.24747474747474746,2,18.181818181818183,0.5589033463443712,0.45025368431142976,0.6675530083773127,0.15365382559423896
36,Feature_41,0.2373737373737374,3,27.272727272727273,0.21843567923361842,0.012856803073733322,0.47502859309222256,0.2352711518736804
37,Feature_28,0.23110469777136444,4,36.36363636363637,0.240843967396433,0.13092274603888687,0.4576646277983561,0.12951798196101225
38,Feature_151,0.2196969696969697,1,9.090909090909092,0.5746143570004923,0.5746143570004923,0.5746143570004923,
39,Feature_90,0.21841822480120354,4,36.36363636363637,0.1897475292332403,0.0,0.3037294124961831,0.1328854933040292
40,Feature_55,0.2169225044045704,6,54.54545454545455,0.11076870597296053,0.0013555939938441294,0.3121023807720666,0.10423883816524576
41,Feature_67,0.20871985157699444,4,36.36363636363637,0.126520168557009,0.0,0.41521111515032655,0.19459760492527736
42,Feature_23,0.19886363636363638,2,18.181818181818183,0.30464785269196293,0.13705572781293623,0.4722399775709897,0.18433086654655093
43,Feature_167,0.1920995670995671,2,18.181818181818183,0.26569160906037315,0.11939084312881104,0.41199237499193525,0.2069005273659868
44,Feature_130,0.1911233547597184,3,27.272727272727273,0.24864499622150585,0.0493216384537366,0.40675229564463505,0.18224500342692793
45,Feature_126,0.18775396990499965,3,27.272727272727273,0.264505655456501,0.09674141326275058,0.43400687874932176,0.16863944194633793
46,Feature_105,0.18592518592518592,3,27.272727272727273,0.2628742723514877,0.006178549219925346,0.4969250072800213,0.24615567867239802
47,Feature_87,0.18541815907669565,4,36.36363636363637,0.18818299702448396,0.0,0.5280325984280783,0.24971872684852225
48,Feature_142,0.1822276822276822,3,27.272727272727273,0.21920894684501094,0.0,0.5727029705105126,0.3090655828467561
49,Feature_22,0.1796662865211252,4,36.36363636363637,0.2354762959433027,0.11209107342901366,0.6957739909654499,0.2179259002275881
50,Feature_68,0.17763629013629018,6,54.54545454545455,0.09240674813970638,0.0,0.3903769160818879,0.1368896246776799
